RADIO LISTENING,A ASCULTA LA RADIO
ECONOMIC RESEARCH,CERCETARE ECONOMICĂ
RESEARCH AND DEVELOPMENT,CERCETARE ȘI DEZVOLTARE
COMMUNICATION RESEARCH,CERCETARE ÎN COMUNICARE
CURRICULUM RESEARCH,CERCETARE ÎN DOMENIUL PLANULUI DE ÎNVĂȚĂMÂNT
EDUCATIONAL RESEARCH,CERCETARE ÎN EDUCAȚIE
MEDICAL RESEARCH,CERCETARE MEDICALĂ
EMBRYO RESEARCH,CERCETARE PE EMBRIONI
PSYCHOLOGICAL RESEARCH,CERCETARE PSIHOLOGICĂ
SOCIAL RESEARCH,CERCETARE SOCIALĂ
SCIENTIFIC RESEARCH,CERCETARE ȘTIINȚIFICĂ
AUDIENCE RESEARCH,CERCETAREA AUDIENȚELOR
CEREALS,CEREALE
CEREMONIES,CEREMONII
RELIGIOUS CEREMONIES,CEREMONII RELIGIOASE
DEMAND,CERERE
APPLICATION FOR EMPLOYMENT,CERERE DE ANGAJARE
SUPPLY AND DEMAND,CERERE ȘI OFERTĂ
HOUSING NEEDS,CEREREA DE LOCUINȚE
BEGGARS,CERȘETORI
PUBLIC SECTOR BORROWING REQUIREMENT,CERINȚE PRIVIND ÎMPRUMUTURILE DIN SECTORUL PUBLIC
JOB REQUIREMENTS,CERINȚELE LOCULUI DE MUNCĂ
EDUCATIONAL CERTIFICATES,CERTIFICATE EDUCAȚIONALE
CITIZENSHIP,CETĂȚENIE
PUBLIC EXPENDITURE,CHELTUIALĂ PUBLICĂ
EXPENDITURE,CHELTUIELI
CULTURAL EXPENDITURE,CHELTUIELI CULTURALE
RELOCATION EXPENSES,CHELTUIELI DE RELOCARE
HEALTH EXPENDITURE,CHELTUIELI DE SĂNĂTATE
EDUCATIONAL EXPENDITURE,CHELTUIELI EDUCAȚIONALE
INFORMATION/LIBRARY EXPENDITURE,CHELTUIELI INFORMAȚIONALE/BIBLIOTECARE
MILITARY EXPENDITURE,CHELTUIELI MILITARE
SOCIAL WELFARE EXPENDITURE,CHELTUIELI PENTRU BUNĂSTARE SOCIALĂ
ELECTORAL ISSUES,CHESTIUNI ELECTORALE
POLITICAL ISSUES,CHESTIUNI POLITICE
SOCIAL ISSUES,CHESTIUNI SOCIALE
CHEMICALS,CHIMICALE
CHEMISTRY,CHIMIE
CHEMOTHERAPY,CHIMIOTERAPIE
LODGERS,CHIRIAȘI
RENTS,CHIRII
PALMISTRY,CHIROMANȚIE
CHIROPRACTIC,CHIROPRACTICĂ
SURGERY,CHIRURGIE
GYNAECOLOGICAL SURGERY,CHIRURGIE GINECOLOGICĂ
OBSTETRIC SURGERY,CHIRURGIE OBSTETRICĂ
PLASTIC SURGERY,CHIRURGIE PLASTICĂ
UROGENITAL SURGERY,CHIRURGIE UROGENITALĂ
UROLOGIC SURGERY,CHIRURGIE UROLOGICĂ
TRUANCY,CHIUL
CYCLING,CICLISM
CYCLISTS,CICLIȘTI
LIFE CYCLE,CICLU DE VIAȚĂ
TURNOVER,CIFRĂ DE AFACERI
CINEMA,CINEMATOGRAFIE
CIRCUMCISION,CIRCUMCIZIE
CONSTITUENCIES,CIRCUMSCRIPȚIE ELECTORALĂ
READERSHIP,CITITORI
BOOK READERSHIP,CITITORI DE CĂRȚI
PERIODICALS READERSHIP,CITITORI DE REVISTE
NEWSPAPER READERSHIP,CITITORII PRESEI SCRISE
PLAGUE,CIUMĂ
CIVILIANS,CIVILI
BUILDINGS,CLĂDIRI
AGRICULTURAL BUILDINGS,CLĂDIRI AGRICOLE
SCHOOL BUILDINGS,CLĂDIRI ȘCOLARE
COMMERCIAL BUILDINGS,CLĂDIRI COMERCIALE
OFFICE BUILDINGS,CLĂDIRI DE BIROURI
EDUCATIONAL BUILDINGS,CLĂDIRI EDUCAȚIONALE
HISTORIC BUILDINGS,CLĂDIRI ISTORICE
RELIGIOUS BUILDINGS,CLĂDIRI PENTRU ACTIVITĂȚI RELIGIOASE
RECREATIONAL BUILDINGS,CLĂDIRI PENTRU RECREERE
PUBLIC SERVICE BUILDINGS,CLĂDIRI PENTRU SERVICII PUBLICE
RESIDENTIAL BUILDINGS,CLĂDIRI REZIDENȚIALE
CINEMA BUILDINGS,CLĂDIRILE CINEMATOGRAFELOR
THEATRE BUILDINGS,CLĂDIRILE TEATRELOR
CLANS,CLANURI
MIDDLE CLASS,CLASĂ DE MIJLOC
WORKING CLASS,CLASA MUNCITOARE
SOCIAL CLASS,CLASĂ SOCIALĂ
UPPER CLASS,CLASĂ SUPERIOARĂ
SCHOOL CLASSES,CLASE ȘCOLARE
CLASSIFICATION OF ILLICIT DRUGS,CLASIFICAREA DROGURILOR ILICITE
CUSTOMERS,CLIENȚI
CLIMATE,CLIMĂ
CLONING,CLONARE
CLUBS,CLUBURI
SCHOOL CLUBS,CLUBURI ȘCOLARE
YOUTH CLUBS,CLUBURI DE TINERET
OLD PEOPLE'S CLUBS,CLUBURI PENTRU VÂRSTNICI
SOCIO-CULTURAL CLUBS,CLUBURI SOCIO-CULTURALE
SPORTS CLUBS,CLUBURI SPORTIVE
HOME SHARING,COABITARE
POLITICAL COALITIONS,COALIȚII POLITICE
GAS FUELS,COBUSTIBILI GAZOȘI
WOODS,CODRU
STATUTES,CODURI LEGISLATIVE
INTELLIGENCE QUOTIENT,COEFICIENT DE INTELIGENȚĂ
PEACEFUL COEXISTENCE,COEXISTENȚĂ PAȘNICĂ
WITHDRAWAL METHOD (BIRTH CONTROL),COITUL INTRERUPT (METODĂ DE CONTRACEPȚIE)
MUSEUM COLLECTIONS,COLECȚII DE MUZEU
WASTE COLLECTION,COLECTAREA DEȘEURILOE
SCHOOLS,ȘCOLI
FAITH SCHOOLS,ȘCOLI CONFESIONALE
REFORMATORY SCHOOLS,ȘCOLI DE CORECȚIE
SINGLE-SEX SCHOOLS,ȘCOLI DE FETE ȘI ȘCOLI DE BĂIEȚI
STATE SCHOOLS,ȘCOLI DE STAT
BOARDING SCHOOLS,ȘCOLI DE TIP INTERNAT
PHILOSOPHICAL SCHOOLS,ȘCOLI FILOSOFICE
LOWER SECONDARY SCHOOLS,ȘCOLI GIMNAZIALE
INTERNATIONAL SCHOOLS,ȘCOLI INTERNAȚIONALE
SCHOOLS FOR THE DISABLED,ȘCOLI PENTRU PERSOANE CU DIZABILITĂȚI
PRIMARY SCHOOLS,ȘCOLI PRIMARE
PRIVATE SCHOOLS,ȘCOLI PRIVATE
SELECTIVE SCHOOLS,ȘCOLI SELECTIVE
COLONIALISM,COLONIALISM
COLONIZATION,COLONIZARE
FUELS,COMBUSTIBILI
NUCLEAR FUELS,COMBUSTIBILI NUCLEARI
TRADE,COMERȚ
WHOLESALE TRADE,COMERȚ ANGRO
RETAIL TRADE,COMERȚ CU AMĂNUNTUL
ARMS TRADE,COMERȚ CU ARMAMENT
ELECTRONIC COMMERCE,COMERȚ ELECTRONIC
DOMESTIC TRADE,COMERȚ INTERIOR
INTERNATIONAL TRADE,COMERȚ INTERNAȚIONAL
FREE TRADE,COMERȚ LIBER
MARKETING,COMERCIALIZARE
TRADESMEN,COMERCIANȚI
EUROPEAN COMMISSION,COMISIA EUROPEANĂ
BANK CHARGES,COMISIOANE BANCARE
COMMITTEES,COMITETE
UNITED NATIONS COMMITTEES,COMITETELE NAȚIUNILOR UNITE
COMPANIES,COMPANII
BROADCASTING COMPANIES,COMPANII DE DIFUZARE TELEVIZATĂ SAU RADIOFONICĂ
TRANSNATIONAL ENTERPRISES,COMPANII TRANSNAȚIONALE
FINANCIAL COMPENSATION,COMPENSAȚIE FINANCIARĂ
ABILITY,COMPETENȚĂ
TRANSLATION SKILLS,COMPETENȚE DE TRADUCERE
MEDIA LITERACY,COMPETENȚE DE UTILIZARE A MASS MEDIA
TEACHING SKILLS,COMPETENȚE DIDACTICE
GRAMMAR SKILLS,COMPETENȚE GRAMATICALE
COMPUTER LITERACY,COMPETENȚE PENTRU OPERAREA CALCULATORULUI
PREGNANCY COMPLICATIONS,COMPLICAȚII ALE NAȘTERII
LABOUR COMPLICATIONS,COMPLICAȚII LA TRAVALIU
AUDIENCE COMPOSITION,COMPONENȚA AUDIENȚELOR
ANTISOCIAL BEHAVIOUR,COMPORTAMENT ANTISOCIAL
CULTURAL BEHAVIOUR,COMPORTAMENT COMUNITAR
GROUP BEHAVIOUR,COMPORTAMENT DE GRUP
VOTING BEHAVIOUR,COMPORTAMENT DE VOT
DRINKING BEHAVIOUR,COMPORTAMENT FAȚĂ DE CONSUMUL DE ALCOOL
COMMUNITY BEHAVIOUR,COMPORTAMENT ÎN COMUNITATE
MORAL BEHAVIOUR,COMPORTAMENT MORAL
DISORDERLY CONDUCT,COMPORTAMENT NECIVILIZAT
POLITICAL BEHAVIOUR,COMPORTAMENT POLITIC
RELIGIOUS BEHAVIOUR,COMPORTAMENT RELIGIOS
SEXUAL BEHAVIOUR,COMPORTAMENT SEXUAL
SOCIAL BEHAVIOUR,COMPORTAMENT SOCIAL
STUDENT BEHAVIOUR,COMPORTAMENT STUDENȚESC
HUMAN BEHAVIOUR,COMPORTAMENT UMAN
CHILD BEHAVIOUR,COMPORTAMENTUL COPILULUI
MOBILE COMMUNICATION,COMUNICAȚII PRIN TELEFONIE MOBILĂ
COMMUNICATION,COMUNICARE
GROUP COMMUNICATION,COMUNICARE DE GRUP
MASS COMMUNICATION,COMUNICARE DE MASĂ
INTERPERSONAL COMMUNICATION,COMUNICARE INTERPERSONALĂ
NON-VERBAL COMMUNICATION,COMUNICARE NONVERBALĂ
PRESS RELEASES,COMUNICATE DE PRESĂ
COMMUNISM,COMUNISM
COMMUNITIES,COMUNITĂȚI
RELIGIOUS COMMUNITIES,COMUNITĂȚI RELIGIOASE
EUROPEAN ECONOMIC COMMUNITY,COMUNITATEA ECONOMICĂ EUROPEANĂ
DISMISSAL,CONCEDIERE
HOLIDAYS ABROAD,CONCEDII ÎN STRĂINĂTATE
LEAVE,CONCEDIU
MATERNITY LEAVE,CONCEDIU DE MATERNITATE
HOLIDAY LEAVE,CONCEDIU DE ODIHNĂ
PATERNITY LEAVE,CONCEDIU DE PATERNITATE
EDUCATIONAL LEAVE,CONCEDIU DE STUDII
SICK LEAVE,CONCEDIU MEDICAL
PARENTAL LEAVE,CONCEDIU PARENTAL
CONCENTRATION,CONCENTRARE
MORAL CONCEPTS,CONCEPTE MORALE
PEACEMAKING,CONCILIERE
COHABITATION,CONCUBINAJ
ECONOMIC COMPETITION,CONCURENȚĂ ECONOMICĂ
INTERNATIONAL COMPETITION,CONCURENȚĂ INTERNAȚIONALĂ
COMPETITIONS,CONCURSURI
CONVICTIONS  (LEGAL),CONDAMNĂRI
PHYSICAL FITNESS,CONDIȚIE FIZICĂ
CULTURAL CONDITIONS,CONDIȚII CULTURALE
CONDITIONS OF EMPLOYMENT,CONDIȚII DE ANGAJARE
TEACHER CONDITIONS OF EMPLOYMENT,CONDIȚII DE ANGAJARE A UNUI CADRU DIDACTIC
HOUSING CONDITIONS,CONDIȚII DE LOCUIT
WORKING CONDITIONS,CONDIȚII DE MUNCĂ
LIVING CONDITIONS,CONDIȚII DE TRAI
ECONOMIC CONDITIONS,CONDIȚII ECONOMICE
LEADERSHIP,CONDUCERE
INDUSTRIAL MANAGEMENT,CONDUCERE INDUSTRIALĂ
DRIVING,CONDUCEREA AUTOVEHICULELOR
CONFERENCES,CONFERINȚE
INTERNATIONAL CONFERENCES,CONFERINȚE INTERNAȚIONALE
CONFLICT,CONFLICT
WARFARE,CONFLICT ARMAT
AIR WARFARE,CONFLICT ARMAT AERIAN
NAVAL WARFARE,CONFLICT ARMAT NAVAL
UNCONVENTIONAL WARFARE,CONFLICT ARMAT NECONVENȚIONAL
CLASS CONFLICT,CONFLICT DE CLASĂ
INTERGROUP CONFLICT,CONFLICT INTERGRUPAL
INTERNATIONAL CONFLICT,CONFLICT INTERNAȚIONAL
INTERPERSONAL CONFLICT,CONFLICT INTERPERSONAL
NUCLEAR WARFARE,CONFLICT NUCLEAR
INTERNAL POLITICAL CONFLICT,CONFLICT POLITIC INTERN
RACIAL CONFLICT,CONFLICT RASIAL
RELIGIOUS CONFLICT,CONFLICT RELIGIOS
SOCIAL CONFLICT,CONFLICT SOCIAL
LABOUR DISPUTES,CONFLICTE DE MUNCĂ
SOCIAL CONFORMITY,CONFORMISM SOCIAL
CONFUSION,CONFUZIE
ENERGY CONSERVATION,CONSERVAREA ENERGIEI
PRESERVATION OF CULTURAL PROPERTY,CONSERVAREA PROPRIETĂȚILOR CULTURALE
CONSERVATISM,CONSERVATORISM
COUNSELLING,CONSILIERE
CAREERS GUIDANCE,CONSILIERE ÎN CARIERĂ
LEGAL ADVICE,CONSILIERE JURIDICĂ
COUNCILLORS,CONSILIERI (MEMBRII AI UNUI CONSILIU)
COUNSELLORS,CONSILIERI (SOCIALI)
EDUCATIONAL ADVISERS,CONSILIERI ȘCOLARI
PROBATION OFFICERS,CONSILIERI DE PROBAȚIUNE
GOVERNING BOARDS (EDUCATION),CONSILII DE ADMINISTRAȚIE (EDUCAȚIE)
GOVERNING BOARDS (ORGANIZATIONS),CONSILII DE ADMINISTRAȚIE (ORGANIZAȚII)
COUNCIL OF MINISTERS,CONSILIUL MINIȘTRILOR
CONSTIPATION,CONSTIPAȚIE
CONSTITUTIONS,CONSTITUȚII
GARDEN BUILDINGS,CONSTRUCȚII PENTRU GRĂDINI ȘI PARCURI
EDUCATIONAL FACILITIES,"CONSTRUCȚII, ECHIPAMENTE ȘI SERVICII EDUCAȚIONALE"
LEGAL CONSULTATIONS,CONSULTAȚII JURIDICE
HEALTH CONSULTATIONS,CONSULTAȚII MEDICALE
PROFESSIONAL CONSULTATIONS,CONSULTAȚII PROFESIONALE
FINANCIAL ADVICE,CONSULTANȚĂ FINANCIARĂ
CONSUMPTION,CONSUM
ENERGY CONSUMPTION,CONSUM DE ENERGIE
ELECTRICAL ENERGY CONSUMPTION,CONSUM DE ENERGIE ELECTRICĂ
GAS CONSUMPTION,CONSUM DE GAZE
PETROL CONSUMPTION,CONSUM DE PETROL
CONSUMERS,CONSUMATORI
UNDERAGE DRINKING,CONSUMUL DE ALCOOL AL MINORILOR
ACCOUNTANTS,CONTABILI
ACCOUNTING,CONTABILITATE
NATIONAL ACCOUNTING,CONTABILITATE NAȚIONALĂ
PREMARITAL SEX,CONTACT SEXUAL PREMARITAL
SAFE SEX,CONTACT SEXUAL PROTEJAT
PERSONAL CONTACT,CONTACTE PERSONALE
FOOD CONTAMINATION,CONTAMINARE ALIMENTARĂ
SEXUAL AWARENESS,CONȘTIENTIZARE SEXUALĂ
CLASS CONSCIOUSNESS,CONȘTIINȚĂ DE CLASĂ
FURTHER EDUCATION,CONTINUAREA EDUCAȚIEI
WATER METERS,CONTOARE DE APĂ
COLLECTIVE AGREEMENTS,CONTRACTE COLECTIVE
TENANCY AGREEMENTS,CONTRACTE DE INCHIRIERE
LEASES,CONTRACTE DE LEASING
EMPLOYMENT CONTRACTS,CONTRACTE DE MUNCĂ
CONTRACTS AND AGREEMENTS,CONTRACTE ȘI ACORDURI
MARRIAGE CONTRACTS,CONTRACTE PRENUPȚIALE
PENSION CONTRIBUTIONS,CONTRIBUȚII PENTRU PENSII
SOCIAL SECURITY CONTRIBUTIONS,CONTRIBUȚII SOCIALE
BORDER CONTROLS,CONTROALE LA GRANIȚĂ
FOOD CONTROL,CONTROL ALIMENTAR
BIOLOGICAL CONTROL,CONTROL BIOLOGIC
BUDGETARY CONTROL,CONTROL BUGETAR
STATE CONTROL,CONTROL DE STAT
DENTAL EXAMINATIONS,CONTROL STOMATOLOGIC
ARMS CONTROL,CONTROLUL ARMELOR
QUALITY CONTROL,CONTROLUL CALITĂȚII
COMMUNICATION CONTROL,CONTROLUL COMUNICAȚIILOR
PEST CONTROL,CONTROLUL DĂUNĂTORILOR
PAIN CONTROL,CONTROLUL DURERII
WEIGHT CONTROL,CONTROLUL GREUTĂȚII
IMPORT CONTROLS,CONTROLUL IMPORTURILOR
DRUG CONTROL,CONTROLUL MEDICAMENTELOR
POLLUTION CONTROL,CONTROLUL POLUĂRII
PRICE CONTROL,CONTROLUL PREȚULUI
RIOT CONTROL,CONTROLUL REVOLTELOR DE STRADĂ
BANK ACCOUNTS,CONTURI BANCARE
COHABITING,CONVIEȚUIRE
SEIZURES,CONVULSII
COOPERATION,COOPERARE
EDUCATIONAL COOPERATION,COOPERARE EDUCAȚIONALĂ
INTERNATIONAL COOPERATION,COOPERARE INTERNAȚIONALĂ
REGIONAL COOPERATION (NATIONAL),COOPERARE REGIONALĂ (NAȚIONALĂ)
SCIENTIFIC COOPERATION,COOPERARE ȘTIINȚIFICĂ
CROSS-BORDER COOPERATION,COOPERARE TRANSFRONTALIERĂ
COOPERATIVES,COOPERATIVE
TREES,COPACI
CHILDREN,COPII
ADOPTED CHILDREN,COPII ADOPTAȚI
DISABLED CHILDREN,COPII CU DIZABILITĂȚI
SCHOOLCHILDREN,COPII DE ȘCOALĂ
SOCIALLY DISADVANTAGED CHILDREN,COPII DEZAVANTAJAȚI SOCIAL
CHILDREN IN CARE,COPII ÎN GRIJA STATULUI
ILL-TREATED CHILDREN,COPII MALTRATAȚI
HOSPITALIZED CHILDREN,COPII SPITALIZAȚI
STEPCHILDREN,COPII VITREGI
CHILDHOOD,COPILĂRIE
EARLY CHILDHOOD,COPILĂRIE TIMPURIE
CORRESPONDENCE,CORESPONDENȚĂ
DROPPING OUT (EDUCATION),CORIGENȚĂ
CORRUPTION,CORUPȚIE
POLICE CORRUPTION,CORUPȚIE POLIȚIENEASCĂ
POLITICAL CORRUPTION,CORUPȚIE POLITICĂ
CHOIRS,CORURI
AMATEUR CHOIRS,CORURI DE AMATORI
COST OF LIVING,COST DE TRAI
COSTS,COSTURI
BUILDING COSTS,COSTURI DE CONSTRUCȚII
FIXED COSTS,COSTURI FIXE
HEALTH CARE COSTS,COSTURI PENTRU SĂNĂTATE
CHIMNEYS,COȘURI DE FUM
DEBTS,CREANȚE
INSURANCE CLAIMS,CREANȚE DE ASIGURARE
JOB CREATION,CREAREA LOCURILOR DE MUNCĂ
CREATIVITY,CREATIVITATE
SPOUSE'S RELIGIOUS BELIEF,CREDINȚA RELIGIOASĂ A SOȚULUI/SOȚIEI
BELIEFS,CREDINȚE
RELIGIOUS BELIEFS,CREDINȚE RELIGIOASE
DAY NURSERIES,CREȘE DE ZI
CHILD DAY CARE,CREȘE ȘI GRĂDINIȚE CU PROGRAM DE ZI
GROWTH (PHYSIOLOGICAL),CREȘTERE (FIZIOLOGICĂ)
ECONOMIC GROWTH,CREȘTERE ECONOMICĂ
POPULATION INCREASE,CREȘTEREA POPULAȚIEI
WAGE INCREASES,CREȘTERI SALARIALE
CHRISTIANITY,CREȘTINISM
WAR CRIMES,CRIME DE RĂZBOI
CRIMES AGAINST HUMANITY,CRIME ÎMPOTRIVA UMANITĂȚII
CRIMINALS,CRIMINALI
CRIME,CRIMINALITATE
FINANCIAL CRIMES,CRIMINALITATE FINANCIARĂ
EDUCATIONAL ADMISSION CRITERIA,CRITERII DE ADMITERE ÎN SISTEMUL EDUCAȚIONAL
LITERARY CRITICISM,CRITICĂ LITERARĂ
ENERGY SHORTAGES,CRIZĂ ENERGETICĂ
POLITICAL CRISES,CRIZE POLITICE
CRUISING HOLIDAYS,CROAZIERE
FIELD WORK,CULEGEREA DATELOR DIN TEREN
COLOUR,CULOARE
CULTURE,CULTURĂ
MASS CULTURE,CULTURĂ DE MASĂ
YOUTH CULTURE,CULTURA TINERETULUI
GRAIN CROPS,CULTURI DE CEREALE
GENETICALLY MODIFIED CROPS,CULTURI MODIFICATE GENETIC
NATIONAL CULTURES,CULTURI NAȚIONALE
FOLK CULTURES,CULTURI POPULARE (TRADIȚIONALE)
PURCHASING,CUMPĂRARE
SHOPPING,CUMPĂRĂTURI
SUNDAY SHOPPING,CUMPĂRĂTURI DE DUMINICĂ
ONLINE SHOPPING,CUMPĂRĂTURI ONLINE
SUBSIDIARY EMPLOYMENT,CUMUL DE FUNCȚII
VOCABULARY SKILLS,CUNOȘTINȚE DE VOCABULAR
POLITICAL AWARENESS,CUNOȘTINȚE POLITICE
EDUCATIONAL VOUCHERS,CUPOANE EDUCAȚIONALE
CLEANING,CURĂȚENIE
SUPREME COURTS,CURȚI SUPREME DE JUSTIȚIE
EUROPEAN UNION COURTS,CURȚILE UNIUNII EUROPENE
EXCHANGE RATES,CURS VALUTAR
ARMS RACE,CURSA ÎNARMĂRII
PART-TIME COURSES,CURSURI CU FRECVENȚĂ REDUSĂ
TRAINING COURSES,CURSURI DE FORMARE
EDUCATIONAL COURSES,CURSURI EDUCAȚIONALE
INFORMATION TECHNOLOGY TRAINING,CURSURI ÎN TEHNOLOGIA INFORMAȚIEI
PERSONAL DEVELOPMENT EDUCATION,CURSURI PENTRU DEZVOLTARE PERSONALĂ
UNIVERSITY COURSES,CURSURI UNIVERSITARE
EUROPEAN COURT OF HUMAN RIGHTS,CURTEA EUROPEANĂ A DREPTURILOR OMULUI
EUROPEAN COURT OF AUDITORS,CURTEA EUROPEANĂ DE CONTURI
EUROPEAN COURT OF JUSTICE,CURTEA EUROPEANĂ DE JUSTIȚIE
INTERNATIONAL COURT OF JUSTICE,CURTEA INTERNAȚIONALĂ DE JUSTIȚIE
INTERNATIONAL CRIMINAL COURT,CURTEA PENALĂ INTERNAȚIONALĂ
EARTHQUAKES,CUTREMURE
DANCE,DANS
SLUM CLEARANCE,DĂRÂMAREA MAHALALELOR
GIFTS,DARURI
DATA,DATE
AGGREGATE LEVEL DATA,DATE AGREGATE
ANONYMISED DATA,DATE ANONIMIZATE
ANTHROPOMETRIC DATA,DATE ANTROPOMETRICE
BIBLIOGRAPHIC DATA,DATE BIBLIOGRAFICE
QUALITATIVE DATA,DATE CALITATIVE
QUANTITATIVE DATA,DATE CANTITATIVE
CENSUS DATA,DATE DE RECENSĂMÂNT
SURVEY DATA,DATE DE SONDAJ
PANEL DATA,DATE DE TIP PANEL
TEXTUAL DATA,DATE DE TIP TEXT
ECOLOGICAL DATA,DATE ECOLOGICE
ELECTION DATA,DATE ELECTORALE
GEOGRAPHICAL DATA,DATE GEOGRAFICE
INDIVIDUAL LEVEL DATA,DATE LA NIVEL INDIVIDUAL
LONGITUDINAL DATA,DATE LONGITUDINALE
COHORT DATA,DATE PE COHORTĂ
TIME SERIES DATA,DATE PE SERII DE TIMP
STATISTICAL DATA,DATE STATISTICE
PUBLIC DEBT,DATORIE PUBLICĂ
PESTS,DĂUNĂTORI 
HOUSE VERMIN,DĂUNĂTORI CASNICI
DAMAGE,DAUNE
LEGAL DAMAGES,DAUNE JURIDICE
WATER DAMAGE,DAUNE PROVOCATE DE APĂ
FIRE DAMAGE,DAUNE PROVOCATE DE INCENDIU
GENERATION GAP,DECALAJ ÎNTRE GENERAȚII
WAR DEATHS,DECEDAȚI ÎN RĂZBOI
DECISION MAKING,DECIZIE
LEGAL DECISIONS,DECIZII JURIDICE
DECOLONIZATION,DECOLONIZARE
ATTACHMENT OF EARNINGS,DEDUCERE DIN SALARII
WASTES,DEȘEURI
RADIOACTIVE WASTES,DEȘEURI RADIOACTIVE
FAULTS,DEFECTE
HEARING IMPAIRMENTS,DEFICIENȚE DE AUZ
SPEECH IMPAIRMENTS,DEFICIENȚE DE VORBIRE
SENSORY IMPAIRMENTS,DEFICIENȚE SENZORIALE
WATER SHORTAGES,DEFICIT DE APĂ
HOUSING SHORTAGES,DEFICIT DE UNITĂȚI LOCATIVE
DEFLATION,DEFLAȚIE
ENVIRONMENTAL DEGRADATION,DEGRADAREA MEDIULUI
DELEGATES,DELEGAȚI
DELINQUENCY,DELINCVENȚĂ
JUVENILE DELINQUENCY,DELINCVENȚĂ JUVENILĂ
DEMENTIA,DEMENȚĂ
SENILE DEMENTIA,DEMENȚĂ SENILĂ
RESIGNATION FROM WORK,DEMISIE DE LA LOCUL DE MUNCĂ
DEMOCRACY,DEMOCRAȚIE
REPRESENTATIVE DEMOCRACY,DEMOCRAȚIE REPREZENTATIVĂ
DEMOCRATIZATION,DEMOCRATIZARE
DEMOGRAPHY,DEMOGRAFIE
DEMONSTRATIONS (LESSONS),DEMONSTRAȚII (LECȚII)
DEMONSTRATIONS (PROTESTS),DEMONSTRAȚII (PROTESTE)
HOUSING DENSITY,DENSITATEA LOCUIRII
POPULATION DENSITY,DENSITATEA POPULAȚIEI
ADDICTION,DEPENDENȚĂ
INTERNATIONAL TRAVEL,DEPLASĂRI INTERNAȚIONALE
ROAD TRAVEL,DEPLASĂRI RUTIERE
STORAGE,DEPOZITARE
FOOD STORAGE,DEPOZITAREA ALIMENTELOR
DEPRESSION,DEPRESIE
POST-NATAL DEPRESSION,DEPRESIE POST-NATALĂ
PARENTAL DEPRIVATION,DEPRIVARE PARENTALĂ
DERMATITIS,DERMATITĂ
OFFSPRING,DESCENDENȚI
DECENTRALIZATION,DESCENTRALIZARE
SCIENTIFIC DISCOVERIES,DESCOPERIRI ȘTIINȚIFICE
MARRIAGE DISSOLUTION,DESFACEREA CĂSĂTORIEI
DISFIGURING IMPAIRMENTS,DESFIGURARE
LIQUIDATIONS,DESFIINȚAREA AFACERILOR
SEPARATED (STILL MARRIED),DESPĂRȚIȚI (DAR CĂSĂTORIȚI)
SEPARATED (CIVIL PARTNERS),DESPĂRȚIȚI (PARTENERI CIVILI)
DETENTION,DETENȚIE
DETERIORATION,DETERIORARE
HIJACKING,DETURNARE
DEPRECIATION,DEVALORIZARE
CURRENCY DEVALUATION,DEVALORIZARE MONETARĂ
DISARMAMENT,DEZARMARE
SOCIAL DISADVANTAGE,DEZAVANTAJ SOCIAL
EDUCATIONALLY DISADVANTAGED,DEZAVANTAJAȚI EDUCAȚIONAL
CULTURALLY DISADVANTAGED,DEZAVANTAJAŢI CULTURAL
FAMILY DISORGANIZATION,DEZINTEGRARE FAMILIALĂ
DEVELOPMENT,DEZVOLTARE
AGRICULTURAL DEVELOPMENT,DEZVOLTARE AGRICOLĂ
COMMUNITY DEVELOPMENT,DEZVOLTARE COMUNITARĂ
CULTURAL DEVELOPMENT,DEZVOLTARE CULTURALĂ
PROCESS DEVELOPMENT,DEZVOLTARE DE PROCES
PRODUCT DEVELOPMENT,DEZVOLTARE DE PRODUS
INDIVIDUAL DEVELOPMENT,DEZVOLTARE DE SINE
SUSTAINABLE DEVELOPMENT,DEZVOLTARE DURABILĂ
EDUCATIONAL DEVELOPMENT,DEZVOLTARE EDUCAȚIONALĂ
EMOTIONAL DEVELOPMENT,DEZVOLTARE EMOȚIONALĂ
PHYSIOLOGICAL DEVELOPMENT,DEZVOLTARE FIZIOLOGICĂ
INDUSTRIAL DEVELOPMENT,DEZVOLTARE INDUSTRIALĂ
LANGUAGE DEVELOPMENT,DEZVOLTARE LINGVISTICĂ
MENTAL DEVELOPMENT,DEZVOLTARE MENTALĂ
NATIONAL DEVELOPMENT,DEZVOLTARE NAȚIONALĂ
REGIONAL DEVELOPMENT,DEZVOLTARE REGIONALĂ
RURAL DEVELOPMENT,DEZVOLTARE RURALĂ
ECONOMIC AND SOCIAL DEVELOPMENT,DEZVOLTARE SOCIO-ECONOMICĂ
SCIENTIFIC DEVELOPMENT,DEZVOLTARE ȘTIINȚIFICĂ
URBAN DEVELOPMENT,DEZVOLTARE URBANĂ
CAREER DEVELOPMENT,DEZVOLTAREA CARIEREI
PERSONALITY DEVELOPMENT,DEZVOLTAREA PERSONALITĂȚII
CURRICULUM DEVELOPMENT,DEZVOLTAREA PLANULUI DE ÎNVĂȚĂMÂNT
DIABETES,DIABET
MEDICAL DIAGNOSIS,DIAGNOSTIC MEDICAL
DIALECTS,DIALECTE
DIARRHOEA,DIAREE
DICTATORSHIP,DICTATURĂ
