Preferred Term,UF
DOCTRINE RELIGIOASE,IAD
DOCTRINE RELIGIOASE,PARADIS
DOCTRINE RELIGIOASE,ZEI
DOMENII DE STUDIU,SUBIECTE CURRICULARE
DONAȚII DE CARITATE,DONAȚII FILANTROPICE
DOVEZI,PROBE
DREPT DE PROPRIETATE, POSESIUNE ȘI FOLOSINȚĂ
DREPT DE PROPRIETATE, POSESIUNE ȘI FOLOSINȚĂ
DREPT DE PROPRIETATE, POSESIUNE ȘI FOLOSINȚĂ
DREPT LA INFORMAȚIE,LIBERTATEA INFORMĂRII
DREPT LA INFORMAȚIE,SECRET DE STAT
DREPTUL LA CONFIDENȚIALITATE,PROTECȚIA SURSELOR DE INFORMAȚIE
DREPTUL LA INTIMITATE,FOTOGRAFIERE NEAUTORIZATĂ
DREPTUL LA INTIMITATE,INVADAREA VIEȚII PRIVATE
DREPTUL LA INTIMITATE,PROTECȚIA DATELOR
DREPTUL LA PROPRIETATE,DREPT DE POSESIUNE ASUPRA PROPRIETĂȚII
DREPTURI PRIVIND ACCESUL PUBLIC,DREPT DE ACCES
DREPTURI PRIVIND ACCESUL PUBLIC,DREPTUL DE A CUTREIERA
DREPTURI PRIVIND ACCESUL PUBLIC,LIBERTATEA DE A CUTREIERA
ECHIPAMENT AGRICOL,MAȘINI AGRICOLE
ECHIPAMENT AUDIO,ECHIPAMENT DE SONORIZARE
ECHIPAMENT AUDIO,ECHIPAMENT DE SUNET
ECHIPAMENT AUDIO,ECHIPAMENT HI-FI
ECHIPAMENT DE PROTECȚIE,APARATE DE PROTECȚIE
ECHIPAMENT DE PROTECȚIE ÎN CAZ DE INCENDIU,DETECTOARE DE FUM
ECHIPAMENT DE PROTECȚIE ÎN CAZ DE INCENDIU,EXTINCTOARE
ECHIPAMENT DE PROTECȚIE ÎN CAZ DE INCENDIU,PĂTURĂ ANTIFOC
ECHIPAMENT DE PROTECȚIE PENTRU CAP,CĂȘTI DE BICICLETĂ
ECHIPAMENT DE PROTECȚIE PENTRU CAP,CĂȘTI DE PROTECȚIE
ECHIPAMENT MEDICAL ȘI CONSUMABILE,CONSUMABILE MEDICALE
ECHIPAMENT MEDICAL ȘI CONSUMABILE,ECHIPAMENT MEDICAL
ECHIPAMENT MEDICAL ȘI CONSUMABILE,ECHIPAMENT PENTRU TERAPIE
ECOLOGIE,BIOLOGIA MEDIULUI
ECOLOGIE,CONDIȚII ECOLOGICE
ECONOMIE,ECONOMIE POLITICĂ
ECONOMIE CULTURALĂ,ECONOMIA MUZEELOR
ECONOMIE DE PIAȚĂ,ANTREPRENORIAT LIBER
ECONOMIE DE PIAȚĂ,ECONOMIE PE PIAȚA LIBERĂ
ECONOMIE DE PIAȚĂ,FORȚELE PIEȚEI
ECONOMIE FUNCIARĂ,CUMPĂRĂRI DE TEREN
ECONOMIE FUNCIARĂ,ECONOMIA PROPRITĂȚILOR ȘI A TERENURILOR
ECONOMIE FUNCIARĂ,ECONOMIE IMOBILIARĂ
ECONOMIE FUNCIARĂ,VÂNZĂRI DE TEREN
ECONOMIE INFORMALĂ,ECONOMIE ASCUNSĂ
ECONOMIE INFORMALĂ,ECONOMIE NEAGRĂ
ECONOMIE INFORMALĂ,SECTOR INFORMAL
ECONOMIE INTERNAȚIONALĂ,FINAȚE INTERNAȚIONALE
ECONOMIE MONETARĂ,SISTEME MONETARE
EDUCAȚIA FEMEILOR,EDUCAȚIE PENTRU FEMEI
EDUCAȚIA FEMEILOR,EDUCAȚIE PENTRU FETE
EDUCAȚIE,PEDAGOGIE
EDUCAȚIE,ȘTIINȚE EDUCAȚIONALE
EDUCAȚIE CIVICĂ,EDUCAȚIE CETĂȚENEASCĂ
EDUCAȚIE FIZICĂ,ANTRENAMENT
EDUCAȚIE FIZICĂ,ANTRENAMENT FIZIC
EDUCAȚIE ÎN DOMENIUL PLANIFICĂRII FAMILIALE,EDUCAȚIE ÎN DOMENIUL CONTROLULUI FERTILITĂȚII
EDUCAȚIE ÎN DOMENIUL SĂNĂTĂȚII,EDUCAȚIE SANITARĂ
EDUCAȚIE ÎN DOMENIUL SERVICIILOR SOCIALE,EDUCAȚIE ÎN ASISTENȚĂ SOCIALĂ
EDUCAȚIE ÎN ȘTIINȚE NECESARE VIEȚII DE FAMILIE,EDUCAȚIE ÎN DOMENIUL ECONOMIEI DOMESTICE
EDUCAȚIE ÎN ȘTIINȚELE SOCIALE ȘI COMPORTAMENTALE,EDUCAȚIE ÎN ȘTIINȚE SOCIALE
EDUCAȚIE MEDICALĂ,FORMARE MEDICALĂ
EDUCAȚIE PE PARCURSUL VIEȚII,EDUCAȚIE CONTINUĂ
EDUCAȚIE PE PARCURSUL VIEȚII,EDUCAȚIE PE TIMPUL VIEȚII
EDUCAȚIE PENTRU PERSOANELE CU NEVOI SPECIALE,ÎNVĂȚĂMÂNT SPECIAL
EDUCAȚIE PENTRU PERSOANELE CU NEVOI SPECIALE,NEVOI SPECIALE ÎN EDUCAȚIE
EDUCAȚIE PENTRU PERSOANELE CU NEVOI SPECIALE,ORTOPEDAGOGIE
EDUCAȚIE PENTRU PERSOANELE CU NEVOI SPECIALE,PEDAGOGIE CURATIVĂ
EDUCAȚIE SEXUALĂ,INSTRUIRE SEXUALĂ
EDUCAȚIE STOMATOLOGICĂ,EDUCAȚIE PENTRU SERVICII STOMATOLOGICE
ȘEFI DE GUVERN,PREȘEDINTE DE GUVERN
ELECTROCASNICE,APARATE ELECTRICE
ELECTROCASNICE,ARAGAZURI
ELECTROCASNICE,CONGELATOARE
ELECTROCASNICE,FRIGIDERE
ELECTROCASNICE,MAȘINI DE SPĂLAT VASELE
ELEVI ȘI STUDENȚI CU NEVOI SPECIALE,ELEVI SAU STUDENȚI CU DIFICULTĂȚI DE ÎNVĂȚARE
EMBLEME,ARMURI
EMBLEME,HERALDICĂ
EMBLEME,STEAGURI
EMIGRARE,MIGRAȚIE EXTERNĂ
ENERGIA UNDELOR,ENERGIA VALURILOR
ENERGIE ELECTRICĂ,ELECTRICITATE
ENERGIE EOLIANĂ,TURBINE DE VÂNT
ENERGIE NUCLEARĂ,PUTERE ATOMICĂ
ENERGIE REGENERABILĂ,ENERGIE ALTERNATIVĂ
ETICĂ,ȘTIINȚĂ MORALĂ
ETICĂ PROFESIONALĂ,DEONTOLOGIE
EVALUARE,EVALUAREA PERFORMANȚEI
EVALUARE EDUCAȚIONALĂ,EVALUARE ACADEMICĂ
EVALUARE EDUCAȚIONALĂ,EVALUAREA STUDENTULUI
EVALUARE EDUCAȚIONALĂ,NOTARE EDUCAȚIONALĂ
EVALUARE EDUCAȚIONALĂ,PREDICȚIA SUCCESULUI (EDUCAȚIE)
EVALUAREA COMPETENȚEI,EVALUAREA ABILITĂȚILOR
EVALUAREA COMPETENȚEI,EVALUAREA CAPACITĂȚILOR
EVALUAREA SARCINILOR DE LUCRU,EVALUAREA PERFORMANȚEI ÎN MUNCĂ
EVENIMENTE CULTURALE,PRODUCȚII CULTURALE
EVENIMENTE MUZICALE,CONCERTE DE MUZICĂ CLASICĂ
EVENIMENTE MUZICALE,CONCERTE DE MUZICĂ MODERNĂ
EVENIMENTE MUZICALE,FESTIVALURI DE JAZZ
EVENIMENTE MUZICALE,FESTIVALURI DE MUZICĂ POPULARĂ
EVENIMENTE MUZICALE,FESTIVALURI DE MUZICĂ UȘOARĂ
EVITAREA PLĂTIRII IMPOZITELOR,EVAZIUNE FISCALĂ
EXAMINĂRI MEDICALE,SCREENING MEDICAL
EXERCIȚII FIZICE,ANTRENAMENT FIZIC (FITNESS)
EXPERIENȚĂ PROFESIONALĂ,EXPERIENȚA PE PIAȚA MUNCI
EXPERIENȚĂ PROFESIONALĂ,ISTORIA LOCURILOR DE MUNCĂ
EXPERIENȚĂ RELIGIOASĂ,ABJURARE
EXPERIENȚĂ RELIGIOASĂ,CONVERTIRE RELIGIOASĂ
EXPUNERE MASS MEDIA,EXPUNERE MEDIA
FECUNDITATE,INFERTILITATE
FEMEI,GEN FEMININ
FERICIRE,BUCURIE
FERICIRE,TRISTEȚE
FESTIVALURI,CARNAVAL
FESTIVALURI,FESTIVAL CULTURAL
FESTIVALURI,FESTIVAL RELIGIOS
FIȘA POSTULUI,DESCRIEREA POSTULUI
FILOSOFIA BUNĂSTĂRII SOCIALE,STATE ALE BUNĂSTĂRII
FINANȚARE PENTRU PROIECTE CULTURALE,SPONSORIZĂRI PENTRU PROIECTE CULTURALE
FINANȚARE PENTRU PROIECTE CULTURALE,TAXE DE INTRARE ÎN MUZEE
FINANȚE ÎN DOMENIUL EDUCAȚIONAL,FINANȚE ȘCOLARE
FINANȚE ÎN DOMENIUL EDUCAȚIONAL,FINANȚE EDUCAȚIONALE
FINANȚE ÎN DOMENIUL EDUCAȚIONAL,FINANȚE UNIVERSITARE
FINANȚE PENTRU CERCETARE,ECONOMIA CERCETĂRII
FITOGEOGRAFIE,DISTRIBUȚIA PLANTELOR
FITOGEOGRAFIE,GEOGRAFIA PLANTELOR
FITOPATOLOGIE,BOLILE PLANTELOR
FIZICĂ NUCLEARĂ,FIZICĂ ATOMICĂ
FIZICA PARTICULELOR,FIZICA PARTICULELOR ELEMENTARE
FLUCTUAȚII ECONOMICE,CICLURI ECONOMICE
FOBIE ȘCOLARĂ,REFUZ ȘCOLAR
FOBIE ȘCOLARĂ,TEAMA DE A MERGE LA ȘCOALĂ
FONDUL MONETAR INTERNAȚIONAL,FMI
FORȚĂ DE MUNCĂ,POPULAȚIE ACTIVĂ
FORȚE ARMATE,FORȚE MILITARE
FORMARE EDUCAȚIONALĂ,ULTIMA ȘCOALĂ ABSOLVITĂ
FORMARE PROFESIONALĂ,FORMARE LA LOCUL DE MUNCĂ
FORMARE PROFESIONALĂ,FORMARE VOCAȚIONALĂ
FOROGRAF AMATOR,FOTOGRAF ÎNCEPĂTOR
FRAȚI ȘI SURORI,FRAȚI
FRAȚI ȘI SURORI,SURORI
FRANCMASONERIE,LOJA FRANCMASONILOR
FRICĂ,PANICĂ
FRICĂ,TEAMĂ
FUNERALII,ÎNMORMÂNTĂRI
FUZIUNI,ACHIZIȚII ȘI FUZIUNI
FUZIUNI,PRELUĂRI DE AFACERI
GENEALOGIE,ARBORE GENEALOGIC
GENETICĂ,CERCETARE GENETICĂ
GENETICA PLANTELOR,CULTURI (PLANTE)
GENETICA PLANTELOR,REPRODUCEREA PLANTELOR
GESTIONAREA PĂDURILOR,DESPĂDURIRE
GESTIONAREA PĂDURILOR,MANAGEMENT FORESTIER
GESTIUNE FINANCIARĂ,ADMINISTRAȚIE FINANCIARĂ
GOSPODĂRII,COMPONENȚA GOSPODĂRIEI
GOSPODĂRII,DIMENSIUNEA GOSPODĂRIEI
GRADINI ZOOLOGICE,SAFARI
GRANTURI,ALOCAȚII
GRANTURI,FINANȚĂRI
GRANTURI EDUCAȚIONALE,BURSE SOCIALE
GRANTURI EDUCAȚIONALE,BURSE UNIVERSITARE
GRANTURI EDUCAȚIONALE,PREMII EDUCAȚIONALE
GRUPARE EDUCAȚIONALĂ,GRUPARE ȘCOLARĂ
GRUPARE EDUCAȚIONALĂ,GRUPARE UNIVERSITARĂ
GRUPURI DE DISCUȚIE,DISCUȚII DE GRUP
GRUPURI LINGVISTICE,FAMILII LINGVISTICE
GUVERN CENTRAL,GUVERN FEDERAL
GUVERN CENTRAL,GUVERN NAȚIONAL
HANDICAP INTELECTUAL,DIZABILITĂȚI INTELECTUALE
HANDICAP INTELECTUAL,DIZABILITĂȚI MENTALE
HANDICAP INTELECTUAL,DIZABILITATE MENTALĂ
HETEROSEXUALITATE,HETEROSEXUALI
HINDUISM,HINDUȘI
HIPNOTERAPIE,TERAPIE PRIN HIPNOZĂ
HIROTONIRE,HIROTONISIRE
HIROTONIREA FEMEILOR,HIROTONIA FEMEILOR
HIROTONIREA FEMEILOR,HIROTONISIREA FEMEILOR
HOMOSEXUALITATE,HOMOSEXUALI
HOMOSEXUALITATE FEMININĂ,LESBIANE
HOMOSEXUALITATE FEMININĂ,LESBIANISM
IDENTIFICAREA COMUNITĂȚII,INTEGRARE ÎN COMUNITATE
IDENTITATE CULTURALĂ,IDENTITATE ETNICĂ
IDENTITATE NAȚIONALĂ,CONȘTIINȚĂ NAȚIONALĂ
IDENTITATE PERSONALĂ,IMAGINE PROPRIE
IDENTITATE PERSONALĂ,PERCEPȚIA PROPRIEI PERSOANE
IDENTITATE SEXUALĂ,FEMINITATE
IDENTITATE SEXUALĂ,MASCULINITATE
IDEOLOGII,DOCTRINE
ÎMPRUMUT BANCAR,CREDIT
ÎNCHIDEREA AFACERILOR,ÎNCHIDEREA MINELOR DE CĂRBUNE
ÎNCHIDEREA AFACERILOR,ÎNCHIDERI DE FABRICI
ÎNCREDERE,A FI DEMN DE ÎNCREDERE
ÎNCREDERE,ADEVĂR
ÎNCREDERE,ONESTITATE
ÎNCREDERE INTERPERSONALĂ,ÎNCREDERE ÎN OAMENI
INDUSTRIA COMUNICĂRII ,MASS-MEDIA
ÎNȚELEGERE,COMPREHENSIUNE
INFECȚII CU VIRUSUL HIV,HIV
INFECȚII CU VIRUSUL HIV,VIRUSUL IMUNODEFICIENȚEI UMANE
INFIDELITATE,ADULTER
INFIDELITATE,SEX EXTRAMARITAL
INFIDELITATE,SEX EXTRA-MARITAL
INFORMAȚII PENTRU CONSUMATORI,ETICHETAREA ALIMENTELOR
INFORMAȚII PENTRU CONSUMATORI,INFORMAȚII DE PE AMBALAJ
INFRASTRUCTURĂ PENTRU CERCETARE,INFRASTRUCTURĂ TEHNOLOGICĂ
INGINERIA MEDIULUI,TEHNOLOGIA MEDIULUI
ÎNGRIJIRE DENTARĂ,ÎNGRIJIRE ORALĂ
ÎNGRIJIRE DIN PARTEA COMUNITĂȚII,ÎNGRIJIRE COMUNITARĂ
ÎNGRIJIREA BĂTRÂNILOR ÎN CENTRE REZIDENȚIALE,AZIL DE BĂTRÂNI
ÎNGRIJIREA BOLNAVILOR,ÎNGRIJIREA BOLNAVILOR ÎN STARE TERMINALĂ
ÎNGRIJIREA BOLNAVILOR ÎN CENTRE REZIDENȚIALE,CENTRE REZIDENȚIALE
ÎNGRIJIREA BOLNAVILOR ÎN CENTRE REZIDENȚIALE,ÎNGRIJIREA BOLNAVILOR ÎN STARE TERMINALĂ ÎN CENTRE REZIDENȚIALE
ÎNGRIJIREA BOLNAVILOR ÎN CENTRE REZIDENȚIALE,ÎNGRIJIREA ÎN OSPICIU
ÎNGRIJIREA LA DOMICILIU A COPIILOR,CASE DE COPII
ÎNGRIJIREA LA DOMICILIU A COPIILOR,ORFELINATE
ÎNGRIJIREA PERSOANELOR AFLATE ÎN ÎNTREȚINERE,DEPENDENȚI
INOVAȚII ȘTIINȚIFICE,INOVAȚII TEHNOLOGICE
ÎNSCRIERE,ÎNREGISTRARE ÎN SISTEMUL EDUCAȚIONAL
ÎNSCRIERE,ÎNSCRIERE ÎN SISTEMUL EDUCAȚIONAL
ÎNSCRIERE,ÎNSCRIERE LA ȘCOALĂ
ÎNSCRIERE,ÎNSCRIERE LA UNIVERSITATE
INSOLVENȚE,FALIMENT
INSTALAȚII PENTRU APĂ CURENTĂ,BĂI
INSTALAȚII PENTRU APĂ CURENTĂ,BAIE
INSTANȚE SPECIALE DE JUDECATĂ,TRIBUNALE
INSTITUȚII DE EDUCAȚIE VOCAȚIONALE,ȘCOLI VOCAȚIONALE
INSTITUȚII DE EDUCAȚIE VOCAȚIONALE,LICEE VOCAȚIONALE
INSTITUȚII DE ÎNVĂȚĂMÂNT SUPERIOR,FACULTĂȚI
INSTITUȚII DE ÎNVĂȚĂMÂNT SUPERIOR,UNIVERSITĂȚI
INSTITUȚII ȘI SISTEME EDUCAȚIONALE,ORGANIZAȚII EDUCAȚIONALE
INSTITUȚII PENTRU EDUCAREA ADULȚILOR,INSTITUȚII DE EDUCARE A ADULȚILOR
INSTITUȚII PENTRU EDUCAREA ADULȚILOR,SERAL
INSTRUCTORI DE SPORT,ANTRENORI SPORTIVI
INSTRUIRE ÎN DOMENIUL COAFURII ȘI AL SERVICIILOR DE ÎNFRUMUSEȚARE,EDUCAȚIE ÎN SERVICII DE FRUMUSEŢE ȘI COAFURĂ
INSTRUIRE ÎN DOMENIUL HOTELIER ȘI AL SERVICIILOR DE ALIMENTAȚIE PUBLICĂ,INSTRUIRE ÎN DOMENIUL HOTELIER ȘI CATERING
INSTRUIRE RELIGIOASĂ,EDUCAȚIE TEOLOGICĂ
INSTRUIRE RELIGIOASĂ,STUDII TEOLOGICE
INSULTĂ ȘI CALOMNIE,DEFĂIMARE
INTEGRARE,DESEGREGARE
INTEGRARE,SEGREGARE
INTEGRARE CULTURALĂ,ASIMILARE CULTURALĂ
INTEGRARE EDUCAȚIONALĂ,DESEGREGARE ȘCOLARĂ
INTEGRARE EDUCAȚIONALĂ,INTEGRARE ȘCOLARĂ
INTEGRARE EDUCAȚIONALĂ,SEGREGARE ȘCOLARĂ
INTEGRARE EDUCAȚIONALĂ,SEGREGARE EDUCAȚIONALĂ
INTEGRARE SOCIALĂ,ASIMILARE SOCIALĂ
INTERACȚIUNE CULTURALĂ,CONTACT CULTURAL
INTERCEPTAREA COMUNICAȚIILOR,INTERCEPTAREA CONVORBIRILOR TELEFONICE
INTERCEPTAREA COMUNICAȚIILOR,INTERCEPTAREA TELEFOANELOR
INTERES POLITIC,INTERESUL FAȚĂ DE POLITICĂ
INTERNĂRI,REGISTRATURI ALE SPITALELOR
INTERNET,WORLD WIDE WEB
INTERNET,WWW
ÎNTREȚINERE,INGINERIA MENTENANȚEI
ÎNTREȚINERE,REPARAȚII
ÎNTREȚINEREA DRUMURILOR, ȘOSELELOR ȘI CĂILOR DE ACCES
ÎNTREȚINEREA DRUMURILOR, ȘOSELELOR ȘI CĂILOR DE ACCES
ÎNTREȚINEREA VEHICULELOR RUTIERE,ÎNTREȚINEREA VEHICULELOR CU MOTOR
ÎNTREȚINEREA VEHICULELOR RUTIERE,SCHIMBAREA ULEIULUI
ÎNTREPRINDERI AGRICOLE,FERME
ÎNTREPRINDERI PUBLICE,CORPORAȚII DE STAT
ÎNTREPRINDERI PUBLICE,CORPORAȚII PUBLICE
ÎNTREPRINDERI PUBLICE,FIRME DE STAT
ÎNTREPRINDERI PUBLICE,ÎNTREPRINDERI DE STAT
ÎNTREPRINDERI PUBLICE,ÎNTREPRINDERI NAȚIONALIZATE
ÎNTREPRINDERI STRĂINE,FIRME STRĂINE
ÎNVĂȚĂMÂNT LA DISTANȚĂ,CURSURI LA DISTANȚĂ
ÎNVĂȚĂMÂNT LA DISTANȚĂ,CURSURI PRIN CORESPONDENȚĂ
ÎNVĂȚĂMÂNT LA DISTANȚĂ,FACULTATE LA DISTANȚĂ
ÎNVĂȚĂMÂNT UNIVERSITAR,ÎNVĂȚĂMÂNT SUPERIOR
ÎNVĂȚARE,PROCESE DE ÎNVĂȚARE
INVESTIGAȚII OFICIALE,ANCHETE OFICIALE
INVESTIȚII STRĂINE,CAPITAL STRĂIN
ISLAMISM,MUSULMANI
ISTORIE CIVILĂ,ISTORIE MARITALĂ
ISTORIE MEDIEVALĂ,EVUL MEDIU
ISTORIE MEDIEVALĂ,PERIOADA MEDIEVALĂ
ISTORIOGRAFIE,ANALIZĂ ISTORICĂ
ISTORIOGRAFIE,CERCETARE ISTORICĂ
ISTORIOGRAFIE,METODA ISTORICĂ
IUBIRE,AFECȚIUNE
IUDAISM,EVREI
IUDAISM,RELIGIA IUDAICĂ
IZOLARE SOCIALĂ,SINGURĂTATE
IZOLARE TERMICĂ,IZOLARE CU FERESTRE TERMOPAN
IZOLARE TERMICĂ,IZOLAREA MANSARDEI
IZOLARE TERMICĂ,IZOLAREA PEREȚILOR
IZOLAREA FONICĂ,FEREASTRĂ TERMOPAN
IZOLAREA FONICĂ,IZOLARE ACUSTICĂ
JOCURI CARE UTILIZEAZĂ RACHETE SAU PALETE,BADMINTON
JOCURI CARE UTILIZEAZĂ RACHETE SAU PALETE,SQUASH (SPORT)
JOCURI CARE UTILIZEAZĂ RACHETE SAU PALETE,TENIS
JOCURI CU MINGEA,BASCHET
JOCURI CU MINGEA,CRICKET
JOCURI CU MINGEA,FOTBAL
JOCURI CU MINGEA,GOLF
JOCURI CU MINGEA,HOCKEY
JOCURI CU MINGEA,POPICE
JOCURI DE NOROC ȘI PARIURI,PARIURI SPORTIVE
LABORATOARE EDUCAȚIONALE,LABORATOARE ȘCOLARE
LABORATOARE EDUCAȚIONALE,LABORATOARE DIN LICEE
LABORATOARE EDUCAȚIONALE,LABORATOARE LINGVISTICE
LACĂTE,ÎNCUIETORI
LECTURĂ (ACTIVITATE),A CITI
LECTURĂ (ACTIVITATE),A LECTURA
LEGISLATURĂ,CORP LEGISLATIV
LIBER ARBITRU,VOINȚĂ
LIBERTATEA MEDIULUI ACADEMIC,LIBERTATEA CERCETĂRII
LIBERTATEA MEDIULUI ACADEMIC,LIBERTATEA UNIVERSITĂȚILOR
LICHIDITATE,FONDURI LICHIDE
LIMBA MATERNĂ,LIMBA MINORITĂȚII ETNICE
LIMBA MATERNĂ,LIMBA MINORITĂȚII INDIGENE
LIMBA MATERNĂ,LIMBA MINORITĂȚII NAȚIONALE
LIMBA MATERNĂ,LIMBA MINORITĂȚII REGIONALE
LIMBA MATERNĂ,LIMBA OFICIALĂ A MINORITĂȚII
LIMBAJ NONVERBAL,LIMBAJ PRIN SEMNE
LIMBAJ NONVERBAL,LIMBAJUL SEMNELOR
LIMITE DE TEREN,GRANIȚE DE TEREN
LIPSĂ DE ALIMENTE,LIPSA HRANEI
LOCALURI PUBLICE,BARURI
LOCALURI PUBLICE,TAVERNE
LOCUINȚE SOCIALE,ADĂPOSTURI PENTRU SĂRACI
LOCUIRE,CAZARE
LOCUIRE,GĂZDUIRE
LOCUL CONTROLULUI,LOCUS AL CONTROLULUI
LOCUL NAȘTERII,ȚARA DE ORIGINE
LOGOPEDIE,TERAPIA TULBURĂRILOR DE LIMBAJ
LOTERII,LOTERIA NAȚIONALĂ
LUCRU DE DUMINICĂ,MUNCĂ DE DUMINICĂ
MAGAZINE,FACILITĂȚI PENTRU MAGAZINE
MAGAZINE MARI,HIPERMARKETURI
MAGAZINE MARI,SUPERMARKETURI
MÂNĂ DE LUCRU INFANTILĂ,MÂNA DE LUCRU A COPIILOR
MANAGEMENTUL AFACERILOR,MANAGEMENTUL ÎNTREPRINDERILOR
MANAGERI,PERSONALUL EXECUTIV
MARINARI,NAVIGATORI
MARINARI,PERSONAL MARITIM NAVIGANT
MĂSURI DE PROTECȚIE ȘI SIGURANȚĂ,PROCEDURI DE SECURITATE
MĂSURI DE PROTECȚIE ȘI SIGURANȚĂ,PROCEDURI DE SIGURANȚĂ
MATERIALE DE CITIT,MATERIALE DE LECTURĂ
MATERIALE DIDACTICE,MATERIALE EDUCAȚIONALE
MĂȘTI DE PROTECȚIE,MĂȘTI PENTRU GAZ
MEDICAMENTE ȘI DROGURI ILEGALE,MEDICAMENTE CLASIFICATE
MEDICAMENTE ȘI DROGURI ILEGALE,MEDICAMENTE CONTROLATE
MEDICAMENTE ȘI DROGURI ILEGALE,MEDICAMENTE NEAUTORIZATE
MEDICI CHIRURGI VETERINARI,VETERINARI
MEDICI GENERALIȘTI,MEDICI DE FAMILIE
MEDICI SPECIALIȘTI,MEDICI EXPERȚI
MEDICINĂ NATURISTĂ,NATUROPATIE
MEDIU EDUCAȚIONAL,MEDIU ȘCOLAR
MEDIU EDUCAȚIONAL,MEDIU DE ÎNVĂȚARE
MEMBRII AI FAMILIEI,RUDE
METODE DE CONTRACEPȚIE,CONTRACEPȚIE
MIȘCARE SOCIALĂ MUNCITOREASCĂ,MIȘCAREA SOCIALĂ A FORȚEI DE MUNCĂ
MIȘCĂRI DE ELIBERARE,MIȘCARE DE ELIBERARE A ANIMALELOR
MIȘCĂRI DE ELIBERARE,MIȘCARE DE ELIBERARE A HOMOSEXUALILOR ȘI LESBIENELOR
MIȘCĂRI SOCIALE ÎMPOTRIVA RĂZBOIULUI,MIȘCĂRI SOCIALE ANTI-RĂZBOI
MIGRAȚIE URBAN-RURAL,CONTRA-URBANIZARE
MIJLOACE CONTRACEPTIVE,ANTICONCEPȚIONALE
MIJLOACE CONTRACEPTIVE,BURETE CONTRACEPTIV
MIJLOACE CONTRACEPTIVE,CAPAC CONTRACEPTIV
MIJLOACE CONTRACEPTIVE,CONTRACEPTIVE HORMONALE
MIJLOACE CONTRACEPTIVE,CONTRACEPTIVE ORALE
MIJLOACE CONTRACEPTIVE,DIAFRAGME CONTRACEPTIVE
MIJLOACE CONTRACEPTIVE,IMPLANTURI CONTRACEPTIVE CHIRURGICALE
MIJLOACE CONTRACEPTIVE,INJECȚII CONTRACEPTIVE
MIJLOACE CONTRACEPTIVE,PASTILE CONTRACEPTIVE
MIJLOACE CONTRACEPTIVE,PILULA DE A DOUA ZI
MIJLOACE CONTRACEPTIVE,SPERMICIDE
MIJLOACE CONTRACEPTIVE,STERILET
MIROSURI,POLUARE OLFACTIVĂ
MITURI,MITOLOGIE
MOBILITATE DE DOMICILIU,DURATA REZIDENȚEI 
MOBILITATE DE DOMICILIU,ISTORIC REZIDENȚIAL
MOBILITATE FIZICĂ,MOBILITATE LIMITATĂ
MOBILITATE FIZICĂ,MOBILITATE RESTRICTIVĂ
MODĂ,CASE DE MODĂ
MODĂ,COSTUME
MODĂ,HAINE
MODĂ,ÎMBRĂCĂMINTE
MONITORIZAREA DE POLITICI,EVALUARE DE POLITICI PUBLICE
MONUMENTE,MONUMENTE ISTORICE
MORTALITATE,NUMĂRUL DE MORȚI
MORTALITATE MATERNĂ,MORTALITATE LA NAȘTERE
MOȘTENIRE CULTURALĂ,PROPRIETATE CULTURALĂ
MUNCĂ (RESURSĂ),MUNCĂ FIZICĂ
MUNCĂ (RESURSĂ),MUNCĂ INTELECTUALĂ
MUNCĂ (RESURSĂ),MUNCĂ MENTALĂ
MUNCĂ SEZONIERĂ,OCUPAȚIE SEZONIERĂ
MUNCITORI NEPLĂTIȚI,LUCRĂTORI FAMILIALI NEREMUNERAȚI
NAȚIONALIZARE,CONTROLUL STATULUI ASUPRA INDUSTRIEI
NAȚIONAL-SOCIALISM,NAZISM
NATALITATE,NUMĂRUL NAȘTERILOR
NAȘTERI ILEGITIME,NAȘTERI NELEGITIME
NAȘTERI MULTIPLE,GEMENI
NAȘTERI MULTIPLE,TRIPLEȚI
NAȘTERI PREMATURE,TRAVALIU PREMATUR
NATO,ORGANIZAȚIA TRATATULUI NORD-ATLANTIC
NATURĂ SĂLBATICĂ,VIAȚĂ SĂLBATICĂ
NAVE,VAPOARE
NEGLIJENȚĂ MEDICALĂ,ERORI MEDICALE
NEGLIJENȚĂ MEDICALĂ,GREȘELI MEDICALE
NEMURIRE,IMORTALITATE
NEMURIRE,VIAȚĂ DE APOI
NEVOI PRIMARE,NEVOI DE BAZĂ
NIVEL DE TRAI,STANDARD DE VIAȚĂ
NOMAZI,ȚIGANI
NOMAZI,ȚIGANI NOMAZI
NOMAZI,NOMAZI NEW AGE
NOROC,ȘANSĂ
NOROC,PROCES ALEATOR
NUMIRE ÎN FUNCȚIE,ÎNCADRARE ÎN MUNCĂ
NUPȚIALITATE,NUMĂRUL CĂSĂTORIILOR
OBEDIENȚĂ,DOCILITATE
OBICEIURI LA CĂSĂTORIE,CĂSĂTORIA VERILOR
OBICEIURI LA CĂSĂTORIE,EXOGAMIE
OBICEIURI LA CĂSĂTORIE,OBICEIURI MARITALE
OBICEIURI LA CĂSĂTORIE,POLIGAMIE
OBLIGAȚII,DATORIE
OBLIGAȚII,ÎNDATORIRE
OBSTRUCȚIONAREA ACTIVITĂȚILOR POLIȚIEI,OBSTRUCȚIONAREA INVESTIGAȚIILOR POLIȚIENEȘTI
