Preferred Term,RO PT,Role,Relationship PT,RO Relationship PT
ENDOCRINE DISORDERS,TULBURĂRI ENDOCRINE,BT        ,DISEASES,BOLI
ENDOCRINE DISORDERS,TULBURĂRI ENDOCRINE,NT        ,DIABETES,DIABET
ENDOCRINE DISORDERS,TULBURĂRI ENDOCRINE,NT        ,THYROID DISORDERS,TULBURĂRI TIROIDIENE
ENERGY,ENERGIE,NT        ,ELECTRIC POWER,ENERGIE ELECTRICĂ
ENERGY,ENERGIE,NT        ,NUCLEAR ENERGY,ENERGIE NUCLEARĂ
ENERGY,ENERGIE,NT        ,RENEWABLE ENERGY,ENERGIE REGENERABILĂ
ENERGY,ENERGIE,RT        ,ENERGY CONSERVATION,CONSERVAREA ENERGIEI
ENERGY,ENERGIE,RT        ,ENERGY CONSUMPTION,CONSUM DE ENERGIE
ENERGY,ENERGIE,RT        ,ENERGY POLICY,POLITICĂ ENERGETICĂ
ENERGY,ENERGIE,RT        ,ENERGY RESOURCES,RESURSE ENERGETICE
ENERGY,ENERGIE,RT        ,ENERGY SHORTAGES,CRIZĂ ENERGETICĂ
ENERGY CONSERVATION,CONSERVAREA ENERGIEI,BT        ,RESOURCES CONSERVATION,PROTEJAREA RESURSELOR
ENERGY CONSERVATION,CONSERVAREA ENERGIEI,RT        ,ENERGY,ENERGIE
ENERGY CONSERVATION,CONSERVAREA ENERGIEI,RT        ,ENERGY CONSUMPTION,CONSUM DE ENERGIE
ENERGY CONSERVATION,CONSERVAREA ENERGIEI,RT        ,ENERGY POLICY,POLITICĂ ENERGETICĂ
ENERGY CONSERVATION,CONSERVAREA ENERGIEI,RT        ,ENERGY RESOURCES,RESURSE ENERGETICE
ENERGY CONSERVATION,CONSERVAREA ENERGIEI,RT        ,ENERGY SHORTAGES,CRIZĂ ENERGETICĂ
ENERGY CONSERVATION,CONSERVAREA ENERGIEI,RT        ,RENEWABLE ENERGY,ENERGIE REGENERABILĂ
ENERGY CONSERVATION,CONSERVAREA ENERGIEI,RT        ,THERMAL INSULATION,IZOLARE TERMICĂ
ENERGY CONSUMPTION,CONSUM DE ENERGIE,BT        ,CONSUMPTION,CONSUM
ENERGY CONSUMPTION,CONSUM DE ENERGIE,NT        ,ELECTRICAL ENERGY CONSUMPTION,CONSUM DE ENERGIE ELECTRICĂ
ENERGY CONSUMPTION,CONSUM DE ENERGIE,NT        ,GAS CONSUMPTION,CONSUM DE GAZE
ENERGY CONSUMPTION,CONSUM DE ENERGIE,NT        ,PETROL CONSUMPTION,CONSUM DE PETROL
ENERGY CONSUMPTION,CONSUM DE ENERGIE,RT        ,ENERGY,ENERGIE
ENERGY CONSUMPTION,CONSUM DE ENERGIE,RT        ,ENERGY CONSERVATION,CONSERVAREA ENERGIEI
ENERGY CONSUMPTION,CONSUM DE ENERGIE,RT        ,ENERGY POLICY,POLITICĂ ENERGETICĂ
ENERGY CONSUMPTION,CONSUM DE ENERGIE,RT        ,ENERGY RESOURCES,RESURSE ENERGETICE
ENERGY CONSUMPTION,CONSUM DE ENERGIE,RT        ,ENERGY SHORTAGES,CRIZĂ ENERGETICĂ
ENERGY POLICY,POLITICĂ ENERGETICĂ,BT        ,POLICY,POLITICI
ENERGY POLICY,POLITICĂ ENERGETICĂ,RT        ,DEVELOPMENT POLICY,POLITICĂ DE DEZVOLTARE
ENERGY POLICY,POLITICĂ ENERGETICĂ,RT        ,ENERGY,ENERGIE
ENERGY POLICY,POLITICĂ ENERGETICĂ,RT        ,ENERGY CONSERVATION,CONSERVAREA ENERGIEI
ENERGY POLICY,POLITICĂ ENERGETICĂ,RT        ,ENERGY CONSUMPTION,CONSUM DE ENERGIE
ENERGY POLICY,POLITICĂ ENERGETICĂ,RT        ,ENERGY RESOURCES,RESURSE ENERGETICE
ENERGY RESOURCES,RESURSE ENERGETICE,BT        ,NATURAL RESOURCES,RESURSE NATURALE
ENERGY RESOURCES,RESURSE ENERGETICE,NT        ,FUEL RESOURCES,RESURSE DE COMBUSTIBILI
ENERGY RESOURCES,RESURSE ENERGETICE,RT        ,ENERGY,ENERGIE
ENERGY RESOURCES,RESURSE ENERGETICE,RT        ,ENERGY CONSERVATION,CONSERVAREA ENERGIEI
ENERGY RESOURCES,RESURSE ENERGETICE,RT        ,ENERGY CONSUMPTION,CONSUM DE ENERGIE
ENERGY RESOURCES,RESURSE ENERGETICE,RT        ,ENERGY POLICY,POLITICĂ ENERGETICĂ
ENERGY RESOURCES,RESURSE ENERGETICE,RT        ,ENERGY SHORTAGES,CRIZĂ ENERGETICĂ
ENERGY RESOURCES,RESURSE ENERGETICE,RT        ,POWER INDUSTRY,INDUSTRIA ENERGETICĂ
ENERGY SHORTAGES,CRIZĂ ENERGETICĂ,BT        ,SHORTAGES,LIPSURI
ENERGY SHORTAGES,CRIZĂ ENERGETICĂ,RT        ,ENERGY,ENERGIE
ENERGY SHORTAGES,CRIZĂ ENERGETICĂ,RT        ,ENERGY CONSERVATION,CONSERVAREA ENERGIEI
ENERGY SHORTAGES,CRIZĂ ENERGETICĂ,RT        ,ENERGY CONSUMPTION,CONSUM DE ENERGIE
ENERGY SHORTAGES,CRIZĂ ENERGETICĂ,RT        ,ENERGY RESOURCES,RESURSE ENERGETICE
ENERGY SHORTAGES,CRIZĂ ENERGETICĂ,RT        ,FUEL RESOURCES,RESURSE DE COMBUSTIBILI
ENERGY SUPPLY,ALIMENTARE CU ENERGIE,BT        ,BUILDING SERVICES,UTILITĂȚI PENTRU CLĂDIRI
ENERGY SUPPLY,ALIMENTARE CU ENERGIE,NT        ,ELECTRIC POWER SUPPLY,ALIMENTARE CU ENERGIE ELECTRICĂ
ENERGY SUPPLY,ALIMENTARE CU ENERGIE,NT        ,GAS SUPPLY,ALIMENTARE CU GAZ
ENGINEERING, MANUFACTURING AND CONSTRUCTION EDUCATION,EDUCAȚIE ÎN INGINERIE, MANUFACTURĂ ȘI CONSTRUCȚII,BT        
ENGINEERING, MANUFACTURING AND CONSTRUCTION EDUCATION,EDUCAȚIE ÎN INGINERIE, MANUFACTURĂ ȘI CONSTRUCȚII,NT        
ENGINEERING, MANUFACTURING AND CONSTRUCTION EDUCATION,EDUCAȚIE ÎN INGINERIE, MANUFACTURĂ ȘI CONSTRUCȚII,NT        
ENGINEERING, MANUFACTURING AND CONSTRUCTION EDUCATION,EDUCAȚIE ÎN INGINERIE, MANUFACTURĂ ȘI CONSTRUCȚII,NT        
ENGINEERING AND ENGINEERING TRADES EDUCATION,EDUCAȚIE ÎN INGINERIE ȘI MESERII INGINEREȘTI,BT        ,ENGINEERING, MANUFACTURING AND CONSTRUCTION EDUCATION
ENGINEERS,INGINERI,BT        ,WORKERS BY PROFESSION,PROFESII
ENGINEERS,INGINERI,RT        ,OCCUPATIONS,OCUPAȚII
ENROLMENT,ÎNSCRIERE,BT        ,EDUCATIONAL ADMISSION,ADMITEREA ÎN SISTEMUL EDUCAȚIONAL
ENROLMENT,ÎNSCRIERE,RT        ,CLASS SIZE,MĂRIMEA CLASEI
ENROLMENT,ÎNSCRIERE,RT        ,EDUCATIONAL ADMISSION AGE,VÎRSTĂ DE INTRARE ÎN SISTEMUL EDUCAȚIONAL
ENROLMENT,ÎNSCRIERE,RT        ,EDUCATIONAL POPULATION,POPULAȚIA DIN SISTEMUL DE ÎNVĂȚĂMÂNT
ENROLMENT,ÎNSCRIERE,RT        ,SCHOOL SIZE,MĂRIMEA ȘCOLII
ENROLMENT,ÎNSCRIERE,RT        ,SCHOOL-AGE POPULATION,POPULAȚIE DE VÂRSTĂ ȘCOLARĂ
ENROLMENT,ÎNSCRIERE,RT        ,STUDENT SELECTION,SELECȚIE A STUDENȚILOR
ENTERTAINMENT,DIVERTISMENT,BT        ,LEISURE TIME ACTIVITIES,ACTIVITĂȚI DE TIMP LIBER
ENTERTAINMENT,DIVERTISMENT,NT        ,CULTURAL EVENTS,EVENIMENTE CULTURALE
ENTERTAINMENT,DIVERTISMENT,NT        ,PERFORMING ARTS,ARTA SPECTACOLULUI
ENTERTAINMENT,DIVERTISMENT,RT        ,CLUBS,CLUBURI
ENTERTAINMENT,DIVERTISMENT,RT        ,GAMBLING,JOCURI DE NOROC ȘI PARIURI
ENTERTAINMENT,DIVERTISMENT,RT        ,RADIO PROGRAMMES,PROGRAME RADIO
ENTERTAINMENT,DIVERTISMENT,RT        ,SPORT,SPORT
ENTERTAINMENT,DIVERTISMENT,RT        ,TELEVISION PROGRAMMES,PROGRAME DE TELEVIZIUNE
ENTREPRENEURIAL VALUES,VALORI ANTREPRENORIALE,BT        ,VALUES,VALORI
ENTREPRENEURIAL VALUES,VALORI ANTREPRENORIALE,RT        ,BUSINESS MANAGEMENT,MANAGEMENTUL AFACERILOR
ENTREPRENEURIAL VALUES,VALORI ANTREPRENORIALE,RT        ,BUSINESSES,AFACERI
ENTREPRENEURIAL VALUES,VALORI ANTREPRENORIALE,RT        ,ENTREPRENEURS,ANTREPRENORI
ENTREPRENEURIAL VALUES,VALORI ANTREPRENORIALE,RT        ,MANAGERIAL CHARACTERISTICS,CARACTERISTICILE CONDUCERII
ENTREPRENEURS,ANTREPRENORI,BT        ,STATUS IN EMPLOYMENT,STATUTUL PE PIAȚA FORȚEI DE MUNCĂ
ENTREPRENEURS,ANTREPRENORI,RT        ,BUSINESS ECONOMICS,ECONOMIA AFACERILOR
ENTREPRENEURS,ANTREPRENORI,RT        ,BUSINESS FORMATION,ÎNFIINȚARE DE AFACERI
ENTREPRENEURS,ANTREPRENORI,RT        ,BUSINESS MANAGEMENT,MANAGEMENTUL AFACERILOR
ENTREPRENEURS,ANTREPRENORI,RT        ,BUSINESSES,AFACERI
ENTREPRENEURS,ANTREPRENORI,RT        ,ENTREPRENEURIAL VALUES,VALORI ANTREPRENORIALE
ENURESIS,ENUREZIS,BT        ,SYMPTOMS,SIMPTOME
ENURESIS,ENUREZIS,BT        ,URINATION DISORDERS,TULBURĂRI URINARE
ENVIRONMENT,MEDIU,NT        ,HUMAN ENVIRONMENT,MEDIU UMAN
ENVIRONMENT,MEDIU,NT        ,NATURAL ENVIRONMENT,MEDIU NATURAL
ENVIRONMENT,MEDIU,NT        ,RURAL ENVIRONMENT,MEDIU RURAL
ENVIRONMENT,MEDIU,NT        ,SOCIAL ENVIRONMENT,MEDIU SOCIAL
ENVIRONMENT,MEDIU,NT        ,URBAN ENVIRONMENT,MEDIU URBAN
ENVIRONMENT,MEDIU,RT        ,ENVIRONMENTAL CHANGES,SCHIMBĂRI DE MEDIU
ENVIRONMENT,MEDIU,RT        ,ENVIRONMENTAL DEGRADATION,DEGRADAREA MEDIULUI
ENVIRONMENT,MEDIU,RT        ,ENVIRONMENTAL ENGINEERING,INGINERIA MEDIULUI
ENVIRONMENT,MEDIU,RT        ,ENVIRONMENTAL MANAGEMENT,ADMINISTRAREA MEDIULUI
ENVIRONMENT,MEDIU,RT        ,ENVIRONMENTAL PLANNING,PLANIFICAREA MEDIULUI
ENVIRONMENT,MEDIU,RT        ,ENVIRONMENTAL QUALITY,CALITATEA MEDIULUI
ENVIRONMENT,MEDIU,RT        ,ENVIRONMENTAL SCIENCES,ȘTIINȚELE MEDIULUI
ENVIRONMENT,MEDIU,RT        ,ENVIRONMENTALISTS,ACTIVISTI ÎN DOMENIUL MEDIULUI
ENVIRONMENTAL CHANGES,SCHIMBĂRI DE MEDIU,NT        ,CLIMATE CHANGE,SCHIMBARE CLIMATICĂ
ENVIRONMENTAL CHANGES,SCHIMBĂRI DE MEDIU,NT        ,ENVIRONMENTAL DEGRADATION,DEGRADAREA MEDIULUI
ENVIRONMENTAL CHANGES,SCHIMBĂRI DE MEDIU,RT        ,ECOLOGY,ECOLOGIE
ENVIRONMENTAL CHANGES,SCHIMBĂRI DE MEDIU,RT        ,ENVIRONMENT,MEDIU
ENVIRONMENTAL CHANGES,SCHIMBĂRI DE MEDIU,RT        ,ENVIRONMENTAL QUALITY,CALITATEA MEDIULUI
ENVIRONMENTAL CHANGES,SCHIMBĂRI DE MEDIU,RT        ,HUMAN ECOLOGY,ECOLOGIE UMANĂ
ENVIRONMENTAL CHANGES,SCHIMBĂRI DE MEDIU,RT        ,NATURAL ENVIRONMENT,MEDIU NATURAL
ENVIRONMENTAL CONSERVATION,PROTEJAREA MEDIULUI,BT        ,CONSERVATION,PROTEJARE
ENVIRONMENTAL CONSERVATION,PROTEJAREA MEDIULUI,BT        ,ENVIRONMENTAL MANAGEMENT,ADMINISTRAREA MEDIULUI
ENVIRONMENTAL CONSERVATION,PROTEJAREA MEDIULUI,NT        ,CONSERVATION OF NATURE,PROTEJAREA NATURII
ENVIRONMENTAL CONSERVATION,PROTEJAREA MEDIULUI,NT        ,FOREST PROTECTION,PROTEJAREA PĂDURILOR
ENVIRONMENTAL CONSERVATION,PROTEJAREA MEDIULUI,RT        ,CONSERVATION AREAS,ZONE PROTEJATE
ENVIRONMENTAL CONSERVATION,PROTEJAREA MEDIULUI,RT        ,ENVIRONMENTAL MOVEMENTS,MIȘCĂRI SOCIALE ECOLOGICE
ENVIRONMENTAL CONSERVATION,PROTEJAREA MEDIULUI,RT        ,NATURAL ENVIRONMENT,MEDIU NATURAL
ENVIRONMENTAL CONSERVATION,PROTEJAREA MEDIULUI,RT        ,POLLUTION CONTROL,CONTROLUL POLUĂRII
ENVIRONMENTAL CONSERVATION,PROTEJAREA MEDIULUI,RT        ,RECYCLING,RECICLARE
ENVIRONMENTAL CONSERVATION,PROTEJAREA MEDIULUI,RT        ,RESOURCES CONSERVATION,PROTEJAREA RESURSELOR
ENVIRONMENTAL DEGRADATION,DEGRADAREA MEDIULUI,BT        ,ENVIRONMENTAL CHANGES,SCHIMBĂRI DE MEDIU
ENVIRONMENTAL DEGRADATION,DEGRADAREA MEDIULUI,NT        ,GLOBAL WARMING,ÎNCĂLZIRE GLOBALĂ
ENVIRONMENTAL DEGRADATION,DEGRADAREA MEDIULUI,NT        ,GREENHOUSE EFFECT,EFECT DE SERĂ
ENVIRONMENTAL DEGRADATION,DEGRADAREA MEDIULUI,NT        ,OZONE LAYER DESTRUCTION,DISTRUGEREA STRATULUI DE OZON
ENVIRONMENTAL DEGRADATION,DEGRADAREA MEDIULUI,NT        ,POLLUTION,POLUARE
ENVIRONMENTAL DEGRADATION,DEGRADAREA MEDIULUI,RT        ,CLIMATE CHANGE,SCHIMBARE CLIMATICĂ
ENVIRONMENTAL DEGRADATION,DEGRADAREA MEDIULUI,RT        ,DAMAGE,DAUNE
ENVIRONMENTAL DEGRADATION,DEGRADAREA MEDIULUI,RT        ,DETERIORATION,DETERIORARE
ENVIRONMENTAL DEGRADATION,DEGRADAREA MEDIULUI,RT        ,ENVIRONMENT,MEDIU
ENVIRONMENTAL DEGRADATION,DEGRADAREA MEDIULUI,RT        ,ENVIRONMENTAL QUALITY,CALITATEA MEDIULUI
ENVIRONMENTAL DEGRADATION,DEGRADAREA MEDIULUI,RT        ,ENVIRONMENTAL SCIENCES,ȘTIINȚELE MEDIULUI
ENVIRONMENTAL DEGRADATION,DEGRADAREA MEDIULUI,RT        ,HAZARDS, ACCIDENTS AND DISASTERS
ENVIRONMENTAL DEGRADATION,DEGRADAREA MEDIULUI,RT        ,NATURAL ENVIRONMENT,MEDIU NATURAL
ENVIRONMENTAL DEGRADATION,DEGRADAREA MEDIULUI,RT        ,SUSTAINABLE DEVELOPMENT,DEZVOLTARE DURABILĂ
ENVIRONMENTAL ENGINEERING,INGINERIA MEDIULUI,BT        ,ENVIRONMENTAL SCIENCES,ȘTIINȚELE MEDIULUI
ENVIRONMENTAL ENGINEERING,INGINERIA MEDIULUI,BT        ,TECHNOLOGY AND INNOVATION,TEHNOLOGIE
ENVIRONMENTAL ENGINEERING,INGINERIA MEDIULUI,NT        ,SANITATION,INGINERIE SANITARĂ
ENVIRONMENTAL ENGINEERING,INGINERIA MEDIULUI,RT        ,ENVIRONMENT,MEDIU
ENVIRONMENTAL ENGINEERING,INGINERIA MEDIULUI,RT        ,POLLUTION CONTROL,CONTROLUL POLUĂRII
ENVIRONMENTAL ENGINEERING,INGINERIA MEDIULUI,RT        ,PUBLIC HEALTH,SĂNĂTATE PUBLICĂ
ENVIRONMENTAL LEGISLATION,LEGISLAȚIA MEDIULUI,BT        ,LEGISLATION,LEGISLAȚIE
ENVIRONMENTAL LEGISLATION,LEGISLAȚIA MEDIULUI,RT        ,ENVIRONMENTAL MANAGEMENT,ADMINISTRAREA MEDIULUI
ENVIRONMENTAL MANAGEMENT,ADMINISTRAREA MEDIULUI,BT        ,ENVIRONMENTAL SCIENCES,ȘTIINȚELE MEDIULUI
ENVIRONMENTAL MANAGEMENT,ADMINISTRAREA MEDIULUI,NT        ,ENVIRONMENTAL CONSERVATION,PROTEJAREA MEDIULUI
ENVIRONMENTAL MANAGEMENT,ADMINISTRAREA MEDIULUI,NT        ,ENVIRONMENTAL PLANNING,PLANIFICAREA MEDIULUI
ENVIRONMENTAL MANAGEMENT,ADMINISTRAREA MEDIULUI,NT        ,FOREST MANAGEMENT,GESTIONAREA PĂDURILOR
ENVIRONMENTAL MANAGEMENT,ADMINISTRAREA MEDIULUI,NT        ,POLLUTION CONTROL,CONTROLUL POLUĂRII
ENVIRONMENTAL MANAGEMENT,ADMINISTRAREA MEDIULUI,NT        ,RESOURCES MANAGEMENT,ADMINISTRAREA RESURSELOR
ENVIRONMENTAL MANAGEMENT,ADMINISTRAREA MEDIULUI,RT        ,ENVIRONMENT,MEDIU
ENVIRONMENTAL MANAGEMENT,ADMINISTRAREA MEDIULUI,RT        ,ENVIRONMENTAL LEGISLATION,LEGISLAȚIA MEDIULUI
ENVIRONMENTAL MANAGEMENT,ADMINISTRAREA MEDIULUI,RT        ,ENVIRONMENTAL QUALITY,CALITATEA MEDIULUI
ENVIRONMENTAL MANAGEMENT,ADMINISTRAREA MEDIULUI,RT        ,NATURAL ENVIRONMENT,MEDIU NATURAL
ENVIRONMENTAL MANAGEMENT,ADMINISTRAREA MEDIULUI,RT        ,RESOURCES CONSERVATION,PROTEJAREA RESURSELOR
ENVIRONMENTAL MOVEMENTS,MIȘCĂRI SOCIALE ECOLOGICE,BT        ,POLITICAL MOVEMENTS,MIȘCĂRI POLITICE
ENVIRONMENTAL MOVEMENTS,MIȘCĂRI SOCIALE ECOLOGICE,RT        ,ANTI-NUCLEAR MOVEMENTS,MIȘCĂRI SOCIALE ANTINUCLEARE
ENVIRONMENTAL MOVEMENTS,MIȘCĂRI SOCIALE ECOLOGICE,RT        ,CONSERVATION OF NATURE,PROTEJAREA NATURII
ENVIRONMENTAL MOVEMENTS,MIȘCĂRI SOCIALE ECOLOGICE,RT        ,ENVIRONMENTAL CONSERVATION,PROTEJAREA MEDIULUI
ENVIRONMENTAL MOVEMENTS,MIȘCĂRI SOCIALE ECOLOGICE,RT        ,ENVIRONMENTALISTS,ACTIVISTI ÎN DOMENIUL MEDIULUI
ENVIRONMENTAL MOVEMENTS,MIȘCĂRI SOCIALE ECOLOGICE,RT        ,NATURAL ENVIRONMENT,MEDIU NATURAL
ENVIRONMENTAL MOVEMENTS,MIȘCĂRI SOCIALE ECOLOGICE,RT        ,RESOURCES CONSERVATION,PROTEJAREA RESURSELOR
ENVIRONMENTAL PLANNING,PLANIFICAREA MEDIULUI,BT        ,ENVIRONMENTAL MANAGEMENT,ADMINISTRAREA MEDIULUI
ENVIRONMENTAL PLANNING,PLANIFICAREA MEDIULUI,RT        ,ARCHITECTS,ARHITECȚI
ENVIRONMENTAL PLANNING,PLANIFICAREA MEDIULUI,RT        ,ARCHITECTURE,ARHITECTURĂ
ENVIRONMENTAL PLANNING,PLANIFICAREA MEDIULUI,RT        ,ENVIRONMENT,MEDIU
ENVIRONMENTAL PLANNING,PLANIFICAREA MEDIULUI,RT        ,ENVIRONMENTAL POLICY,POLITICĂ DE MEDIU
ENVIRONMENTAL PLANNING,PLANIFICAREA MEDIULUI,RT        ,ENVIRONMENTAL QUALITY,CALITATEA MEDIULUI
ENVIRONMENTAL PLANNING,PLANIFICAREA MEDIULUI,RT        ,HOUSING,LOCUIRE
ENVIRONMENTAL PLANNING,PLANIFICAREA MEDIULUI,RT        ,HUMAN ENVIRONMENT,MEDIU UMAN
ENVIRONMENTAL PLANNING,PLANIFICAREA MEDIULUI,RT        ,HUMAN SETTLEMENT,AȘEZĂRI UMANE
ENVIRONMENTAL PLANNING,PLANIFICAREA MEDIULUI,RT        ,OPEN SPACES AND RECREATIONAL AREAS,ZONE DE RECREAȚIE ȘI SPAȚII DESCHISE
ENVIRONMENTAL PLANNING,PLANIFICAREA MEDIULUI,RT        ,PLANNING,PLANIFICARE
ENVIRONMENTAL PLANNING,PLANIFICAREA MEDIULUI,RT        ,RURAL PLANNING,PLANIFICARE RURALĂ
ENVIRONMENTAL PLANNING,PLANIFICAREA MEDIULUI,RT        ,TRAFFIC,TRAFIC
ENVIRONMENTAL POLICY,POLITICĂ DE MEDIU,BT        ,POLICY,POLITICI
ENVIRONMENTAL POLICY,POLITICĂ DE MEDIU,RT        ,ENVIRONMENTAL PLANNING,PLANIFICAREA MEDIULUI
ENVIRONMENTAL POLICY,POLITICĂ DE MEDIU,RT        ,TRANSPORT POLICY,POLITICA TRANSPORTURILOR
ENVIRONMENTAL PROTECTION EDUCATION,EDUCAȚIE ÎN PROTECȚIA MEDIULUI,BT        ,SERVICES EDUCATION,EDUCAȚIE ÎN DOMENIUL SERVICIILOR
ENVIRONMENTAL QUALITY,CALITATEA MEDIULUI,BT        ,QUALITY,CALITATE
ENVIRONMENTAL QUALITY,CALITATEA MEDIULUI,RT        ,ENVIRONMENT,MEDIU
ENVIRONMENTAL QUALITY,CALITATEA MEDIULUI,RT        ,ENVIRONMENTAL CHANGES,SCHIMBĂRI DE MEDIU
ENVIRONMENTAL QUALITY,CALITATEA MEDIULUI,RT        ,ENVIRONMENTAL DEGRADATION,DEGRADAREA MEDIULUI
ENVIRONMENTAL QUALITY,CALITATEA MEDIULUI,RT        ,ENVIRONMENTAL MANAGEMENT,ADMINISTRAREA MEDIULUI
ENVIRONMENTAL QUALITY,CALITATEA MEDIULUI,RT        ,ENVIRONMENTAL PLANNING,PLANIFICAREA MEDIULUI
ENVIRONMENTAL QUALITY,CALITATEA MEDIULUI,RT        ,ENVIRONMENTAL SCIENCES,ȘTIINȚELE MEDIULUI
ENVIRONMENTAL QUALITY,CALITATEA MEDIULUI,RT        ,HUMAN ENVIRONMENT,MEDIU UMAN
ENVIRONMENTAL QUALITY,CALITATEA MEDIULUI,RT        ,HUMAN SETTLEMENT,AȘEZĂRI UMANE
ENVIRONMENTAL QUALITY,CALITATEA MEDIULUI,RT        ,LIVING CONDITIONS,CONDIȚII DE TRAI
ENVIRONMENTAL QUALITY,CALITATEA MEDIULUI,RT        ,NATURAL HERITAGE,PATRIMONIU MONDIAL
ENVIRONMENTAL QUALITY,CALITATEA MEDIULUI,RT        ,QUALITY OF LIFE,CALITATEA VIEȚII
ENVIRONMENTAL SCIENCES,ȘTIINȚELE MEDIULUI,NT        ,ECOLOGY,ECOLOGIE
ENVIRONMENTAL SCIENCES,ȘTIINȚELE MEDIULUI,NT        ,ENVIRONMENTAL ENGINEERING,INGINERIA MEDIULUI
ENVIRONMENTAL SCIENCES,ȘTIINȚELE MEDIULUI,NT        ,ENVIRONMENTAL MANAGEMENT,ADMINISTRAREA MEDIULUI
ENVIRONMENTAL SCIENCES,ȘTIINȚELE MEDIULUI,RT        ,CONSERVATION,PROTEJARE
ENVIRONMENTAL SCIENCES,ȘTIINȚELE MEDIULUI,RT        ,EARTH SCIENCES,ȘTIINȚELE PĂMÂNTULUI
ENVIRONMENTAL SCIENCES,ȘTIINȚELE MEDIULUI,RT        ,ENVIRONMENT,MEDIU
ENVIRONMENTAL SCIENCES,ȘTIINȚELE MEDIULUI,RT        ,ENVIRONMENTAL DEGRADATION,DEGRADAREA MEDIULUI
ENVIRONMENTAL SCIENCES,ȘTIINȚELE MEDIULUI,RT        ,ENVIRONMENTAL QUALITY,CALITATEA MEDIULUI
ENVIRONMENTAL SCIENCES,ȘTIINȚELE MEDIULUI,RT        ,ENVIRONMENTALISTS,ACTIVISTI ÎN DOMENIUL MEDIULUI
ENVIRONMENTAL SCIENCES,ȘTIINȚELE MEDIULUI,RT        ,HUMAN ENVIRONMENT,MEDIU UMAN
ENVIRONMENTAL SCIENCES,ȘTIINȚELE MEDIULUI,RT        ,NATURAL ENVIRONMENT,MEDIU NATURAL
ENVIRONMENTAL SCIENCES,ȘTIINȚELE MEDIULUI,RT        ,NATURAL RESOURCES,RESURSE NATURALE
ENVIRONMENTAL SCIENCES,ȘTIINȚELE MEDIULUI,RT        ,SCIENCE,ȘTIINȚĂ
ENVIRONMENTALISTS,ACTIVISTI ÎN DOMENIUL MEDIULUI,BT        ,GROUPS,GRUPURI
ENVIRONMENTALISTS,ACTIVISTI ÎN DOMENIUL MEDIULUI,RT        ,ECOLOGY,ECOLOGIE
ENVIRONMENTALISTS,ACTIVISTI ÎN DOMENIUL MEDIULUI,RT        ,ENVIRONMENT,MEDIU
ENVIRONMENTALISTS,ACTIVISTI ÎN DOMENIUL MEDIULUI,RT        ,ENVIRONMENTAL MOVEMENTS,MIȘCĂRI SOCIALE ECOLOGICE
ENVIRONMENTALISTS,ACTIVISTI ÎN DOMENIUL MEDIULUI,RT        ,ENVIRONMENTAL SCIENCES,ȘTIINȚELE MEDIULUI
EPIDEMIOLOGY,EPIDEMIOLOGIE,BT        ,PREVENTIVE MEDICINE,MEDICINĂ PREVENTIVĂ
EPIDEMIOLOGY,EPIDEMIOLOGIE,RT        ,BACTERIAL AND VIRUS DISEASES,BOLI BACTERIOLOGICE ȘI VIRALE
EPIDEMIOLOGY,EPIDEMIOLOGIE,RT        ,IMMUNIZATION,IMUNIZARE
EPIDEMIOLOGY,EPIDEMIOLOGIE,RT        ,PUBLIC HEALTH,SĂNĂTATE PUBLICĂ
EPILEPSY,EPILEPSIE,BT        ,BRAIN DISEASES,BOLI ALE CREIERULUI
EPILEPSY,EPILEPSIE,RT        ,SEIZURES,CONVULSII
EQUAL EDUCATION,EGALITATE DE ȘANSE ÎN EDUCAȚIE,BT        ,RIGHT TO NON-DISCRIMINATION,DREPTUL LA NEDISCRIMINARE
EQUAL EDUCATION,EGALITATE DE ȘANSE ÎN EDUCAȚIE,RT        ,ACCESS TO EDUCATION,ACCES LA EDUCAȚIE
EQUAL EDUCATION,EGALITATE DE ȘANSE ÎN EDUCAȚIE,RT        ,EDUCATIONAL DISCRIMINATION,DISCRIMINARE EDUCAȚIONALĂ
EQUAL EDUCATION,EGALITATE DE ȘANSE ÎN EDUCAȚIE,RT        ,EQUAL OPPORTUNITY,OPORTUNITATE EGALĂ
EQUAL EDUCATION,EGALITATE DE ȘANSE ÎN EDUCAȚIE,RT        ,SPECIAL EDUCATION,EDUCAȚIE SPECIALĂ
EQUAL EDUCATION,EGALITATE DE ȘANSE ÎN EDUCAȚIE,RT        ,WOMEN'S EDUCATION,EDUCAȚIA FEMEILOR
EQUAL EDUCATION,EGALITATE DE ȘANSE ÎN EDUCAȚIE,RT        ,WOMEN'S RIGHTS,DREPTURILE FEMEILOR
EQUAL OPPORTUNITY,OPORTUNITATE EGALĂ,BT        ,RIGHT TO NON-DISCRIMINATION,DREPTUL LA NEDISCRIMINARE
EQUAL OPPORTUNITY,OPORTUNITATE EGALĂ,RT        ,DISCRIMINATION,DISCRIMINARE
EQUAL OPPORTUNITY,OPORTUNITATE EGALĂ,RT        ,EQUAL EDUCATION,EGALITATE DE ȘANSE ÎN EDUCAȚIE
EQUAL OPPORTUNITY,OPORTUNITATE EGALĂ,RT        ,EQUAL RIGHTS OF MEN AND WOMEN,DREPTURI EGALE PENTRU BĂRBAȚI ȘI FEMEI
