RO Preferred Term ,English PT
CERCETARE ÎN EDUCAȚIE,EDUCATIONAL RESEARCH
CERCETARE MEDICALĂ,HEALTH-RELATED BIOTECHNOLOGY
CERCETARE PE EMBRIONI,EMBRYO RESEARCH
CERCETARE PSIHOLOGICĂ,PSYCHOLOGICAL RESEARCH
CERCETARE SOCIALĂ,SOCIAL RESEARCH
CERCETARE ȘTIINȚIFICĂ,SCIENTIFIC RESEARCH
CERCETAREA AUDIENȚELOR,AUDIENCE RESEARCH
CEREALE,CEREALS
CEREMONII,CEREMONIES
CEREMONII RELIGIOASE,RELIGIOUS CEREMONIES
CERERE,DEMAND
CERERE DE ANGAJARE,APPLICATION FOR EMPLOYMENT
CERERE ȘI OFERTĂ,SUPPLY AND DEMAND
CEREREA DE LOCUINȚE,HOUSING NEEDS
CERȘETORI,BEGGARS
CERINȚE PRIVIND ÎMPRUMUTURILE DIN SECTORUL PUBLIC,PUBLIC SECTOR BORROWING REQUIREMENT
CERINȚELE LOCULUI DE MUNCĂ,JOB REQUIREMENTS
CERTIFICATE EDUCAȚIONALE,EDUCATIONAL CERTIFICATES
CETĂȚENIE,CITIZENSHIP
CHELTUIALĂ PUBLICĂ,PUBLIC EXPENDITURE
CHELTUIELI,EXPENDITURE
CHELTUIELI CULTURALE,CULTURAL EXPENDITURE
CHELTUIELI DE RELOCARE,RELOCATION EXPENSES
CHELTUIELI DE SĂNĂTATE,HEALTH EXPENDITURE
CHELTUIELI EDUCAȚIONALE,EDUCATIONAL EXPENDITURE
CHELTUIELI INFORMAȚIONALE/BIBLIOTECARE,INFORMATION/LIBRARY EXPENDITURE
CHELTUIELI MILITARE,MILITARY EXPENDITURE
CHELTUIELI PENTRU BUNĂSTARE SOCIALĂ,SOCIAL WELFARE EXPENDITURE
CHESTIUNI ELECTORALE,ELECTORAL ISSUES
CHESTIUNI POLITICE,POLITICAL ISSUES
CHESTIUNI SOCIALE,SOCIAL ISSUES
CHIMICALE,CHEMICALS
CHIMIE,CHEMISTRY
CHIMIOTERAPIE,CHEMOTHERAPY
CHIRIAȘI,LODGERS
CHIRII,RENTS
CHIROMANȚIE,PALMISTRY
CHIROPRACTICĂ,CHIROPRACTIC
CHIRURGIE,SURGERY
CHIRURGIE GINECOLOGICĂ,GYNAECOLOGICAL SURGERY
CHIRURGIE OBSTETRICĂ,OBSTETRIC SURGERY
CHIRURGIE PLASTICĂ,PLASTIC SURGERY
CHIRURGIE UROGENITALĂ,UROGENITAL SURGERY
CHIRURGIE UROLOGICĂ,UROLOGIC SURGERY
CHIUL,TRUANCY
CICLISM,CYCLING
CICLIȘTI,CYCLISTS
CICLU DE VIAȚĂ,LIFE CYCLE
CIFRĂ DE AFACERI,TURNOVER
CINEMATOGRAFIE,CINEMA
CIRCUMCIZIE,CIRCUMCISION
CIRCUMSCRIPȚIE ELECTORALĂ,CONSTITUENCIES
CITITORI,READERSHIP
CITITORI DE CĂRȚI,BOOK READERSHIP
CITITORI DE REVISTE,PERIODICALS READERSHIP
CITITORII PRESEI SCRISE,NEWSPAPER READERSHIP
CIUMĂ,PLAGUE
CIVILI,CIVILIANS
CLĂDIRI,BUILDINGS
CLĂDIRI AGRICOLE,AGRICULTURAL BUILDINGS
CLĂDIRI ȘCOLARE,SCHOOL BUILDINGS
CLĂDIRI COMERCIALE,COMMERCIAL BUILDINGS
CLĂDIRI DE BIROURI,OFFICE BUILDINGS
CLĂDIRI EDUCAȚIONALE,EDUCATIONAL BUILDINGS
CLĂDIRI ISTORICE,HISTORIC BUILDINGS
CLĂDIRI PENTRU ACTIVITĂȚI RELIGIOASE,RELIGIOUS BUILDINGS
CLĂDIRI PENTRU RECREERE,RECREATIONAL BUILDINGS
CLĂDIRI PENTRU SERVICII PUBLICE,PUBLIC SERVICE BUILDINGS
CLĂDIRI REZIDENȚIALE,RESIDENTIAL BUILDINGS
CLĂDIRILE CINEMATOGRAFELOR,CINEMA BUILDINGS
CLĂDIRILE TEATRELOR,THEATRE BUILDINGS
CLANURI,CLANS
CLASĂ DE MIJLOC,MIDDLE CLASS
CLASA MUNCITOARE,WORKING CLASS
CLASĂ SOCIALĂ,SOCIAL CLASS
CLASĂ SUPERIOARĂ,UPPER CLASS
CLASE ȘCOLARE,SCHOOL CLASSES
CLASIFICAREA DROGURILOR ILICITE,CLASSIFICATION OF ILLICIT DRUGS
CLIENȚI,CUSTOMERS
CLIMĂ,CLIMATE
CLONARE,CLONING
CLUBURI,CLUBS
CLUBURI ȘCOLARE,SCHOOL CLUBS
CLUBURI DE TINERET,YOUTH CLUBS
CLUBURI PENTRU VÂRSTNICI,OLD PEOPLE'S CLUBS
CLUBURI SOCIO-CULTURALE,SOCIO-CULTURAL CLUBS
CLUBURI SPORTIVE,SPORTS CLUBS
COABITARE,HOME SHARING
COALIȚII POLITICE,POLITICAL COALITIONS
COBUSTIBILI GAZOȘI,GAS FUELS
CODRU,WOODS
CODURI LEGISLATIVE,STATUTES
COEFICIENT DE INTELIGENȚĂ,INTELLIGENCE QUOTIENT
COEXISTENȚĂ PAȘNICĂ,PEACEFUL COEXISTENCE
COITUL INTRERUPT (METODĂ DE CONTRACEPȚIE),WITHDRAWAL METHOD (BIRTH CONTROL)
COLECȚII DE MUZEU,MUSEUM COLLECTIONS
COLECTAREA DEȘEURILOE,WASTE COLLECTION
ȘCOLI,SCHOOLS
ȘCOLI CONFESIONALE,FAITH SCHOOLS
ȘCOLI DE CORECȚIE,REFORMATORY SCHOOLS
ȘCOLI DE FETE ȘI ȘCOLI DE BĂIEȚI,SINGLE-SEX SCHOOLS
ȘCOLI DE STAT,STATE SCHOOLS
ȘCOLI DE TIP INTERNAT,BOARDING SCHOOLS
ȘCOLI FILOSOFICE,PHILOSOPHICAL SCHOOLS
ȘCOLI GIMNAZIALE,LOWER SECONDARY SCHOOLS
ȘCOLI INTERNAȚIONALE,INTERNATIONAL SCHOOLS
ȘCOLI PENTRU PERSOANE CU DIZABILITĂȚI,SCHOOLS FOR THE DISABLED
ȘCOLI PRIMARE,PRIMARY SCHOOLS
ȘCOLI PRIVATE,PRIVATE SCHOOLS
ȘCOLI SELECTIVE,SELECTIVE SCHOOLS
COLONIALISM,COLONIALISM
COLONIZARE,COLONIZATION
COMBUSTIBILI,FUELS
COMBUSTIBILI NUCLEARI,NUCLEAR FUELS
COMERȚ,TRADE
COMERȚ ANGRO,WHOLESALE TRADE
COMERȚ CU ARMAMENT,ARMS TRADE
COMERȚ ELECTRONIC,ELECTRONIC COMMERCE
COMERȚ INTERIOR,DOMESTIC TRADE
COMERȚ INTERNAȚIONAL,INTERNATIONAL TRADE
COMERȚ LIBER,FREE TRADE
COMER? CU AMANUNTUL,RETAIL TRADE
COMERCIALIZARE,MARKETING
COMERCIANȚI,TRADESMEN
COMISIA EUROPEANĂ,EUROPEAN COMMISSION
COMISIOANE BANCARE,BANK CHARGES
COMITETE,COMMITTEES
COMITETELE NAȚIUNILOR UNITE,UNITED NATIONS COMMITTEES
COMPANII,COMPANIES
COMPANII DE DIFUZARE TELEVIZATĂ SAU RADIOFONICĂ,BROADCASTING COMPANIES
COMPANII TRANSNAȚIONALE,TRANSNATIONAL ENTERPRISES
COMPENSAȚIE FINANCIARĂ,FINANCIAL COMPENSATION
COMPETEN?E GRAMATICALE,GRAMMAR SKILLS
COMPETENȚĂ,ABILITY
COMPETENȚE DE TRADUCERE,TRANSLATION SKILLS
COMPETENȚE DE UTILIZARE A MASS MEDIA,MEDIA LITERACY
COMPETENȚE DIDACTICE,TEACHING SKILLS
COMPETENȚE PENTRU OPERAREA CALCULATORULUI,COMPUTER LITERACY
COMPLICAȚII ALE NAȘTERII,PREGNANCY COMPLICATIONS
COMPLICAȚII LA TRAVALIU,LABOUR COMPLICATIONS
COMPONENȚA AUDIENȚELOR,AUDIENCE COMPOSITION
COMPORTAMENT ANTISOCIAL,ANTISOCIAL BEHAVIOUR
COMPORTAMENT COMUNITAR,CULTURAL BEHAVIOUR
COMPORTAMENT DE GRUP,GROUP BEHAVIOUR
COMPORTAMENT DE VOT,VOTING BEHAVIOUR
COMPORTAMENT FAȚĂ DE CONSUMUL DE ALCOOL,DRINKING BEHAVIOUR
COMPORTAMENT ÎN COMUNITATE,COMMUNITY BEHAVIOUR
COMPORTAMENT MORAL,MORAL BEHAVIOUR
COMPORTAMENT NECIVILIZAT,DISORDERLY CONDUCT
COMPORTAMENT POLITIC,POLITICAL BEHAVIOUR
COMPORTAMENT RELIGIOS,RELIGIOUS BEHAVIOUR
COMPORTAMENT SEXUAL,SEXUAL BEHAVIOUR
COMPORTAMENT SOCIAL,SOCIAL BEHAVIOUR
COMPORTAMENT STUDENȚESC,STUDENT BEHAVIOUR
COMPORTAMENT UMAN,HUMAN BEHAVIOUR
COMPORTAMENTUL COPILULUI,CHILD BEHAVIOUR
COMUNICAȚII PRIN TELEFONIE MOBILĂ,MOBILE COMMUNICATION
COMUNICARE,COMMUNICATIONS
COMUNICARE DE GRUP,GROUP COMMUNICATION
COMUNICARE DE MASĂ,MASS COMMUNICATION
COMUNICARE INTERPERSONALĂ,INTERPERSONAL COMMUNICATION
COMUNICARE NONVERBALĂ,NON-VERBAL COMMUNICATION
COMUNICATE DE PRESĂ,PRESS RELEASES
COMUNISM,COMMUNISM
COMUNITĂȚI,COMMUNITIES
COMUNITĂȚI RELIGIOASE,RELIGIOUS COMMUNITIES
COMUNITATEA ECONOMICA EUROPEANA,EUROPEAN ECONOMIC COMMUNITY
CONCEDIERE,DISMISSAL
CONCEDII ÎN STRĂINĂTATE,HOLIDAYS ABROAD
CONCEDIU,LEAVE
CONCEDIU DE MATERNITATE,MATERNITY LEAVE
CONCEDIU DE ODIHNĂ,HOLIDAY LEAVE
CONCEDIU DE PATERNITATE,PATERNITY LEAVE
CONCEDIU DE STUDII,EDUCATIONAL LEAVE
CONCEDIU MEDICAL,SICK LEAVE
CONCEDIU PARENTAL,PARENTAL LEAVE
CONCENTRARE,CONCENTRATION
CONCEPTE MORALE,MORAL CONCEPTS
CONCILIERE,PEACEMAKING
CONCUBINAJ,COHABITATION
CONCURENȚĂ ECONOMICĂ,ECONOMIC COMPETITION
CONCURENȚĂ INTERNAȚIONALĂ,INTERNATIONAL COMPETITION
CONCURSURI,COMPETITIONS
CONDAMNĂRI,CONVICTIONS  (LEGAL)
CONDIȚIE FIZICĂ,PHYSICAL FITNESS
CONDIȚII CULTURALE,CULTURAL CONDITIONS
CONDIȚII DE ANGAJARE,CONDITIONS OF EMPLOYMENT
CONDIȚII DE ANGAJARE A UNUI CADRU DIDACTIC,TEACHER CONDITIONS OF EMPLOYMENT
CONDIȚII DE LOCUIT,HOUSING CONDITIONS
CONDIȚII DE MUNCĂ,WORKING CONDITIONS
CONDIȚII DE TRAI,LIVING CONDITIONS
CONDIȚII ECONOMICE,ECONOMIC CONDITIONS
CONDUCERE,LEADERSHIP
CONDUCERE INDUSTRIALĂ,INDUSTRIAL MANAGEMENT
CONDUCEREA AUTOVEHICULELOR,DRIVING
CONFERINȚE,CONFERENCES
CONFERINȚE INTERNAȚIONALE,INTERNATIONAL CONFERENCES
CONFLICT,CONFLICT
CONFLICT ARMAT,WARFARE
CONFLICT ARMAT AERIAN,AIR WARFARE
CONFLICT ARMAT NAVAL,NAVAL WARFARE
CONFLICT ARMAT NECONVENȚIONAL,UNCONVENTIONAL WARFARE
CONFLICT DE CLASĂ,CLASS CONFLICT
CONFLICT INTERGRUPAL,INTERGROUP CONFLICT
CONFLICT INTERNAȚIONAL,INTERNATIONAL CONFLICT
CONFLICT INTERPERSONAL,INTERPERSONAL CONFLICT
CONFLICT NUCLEAR,NUCLEAR WARFARE
CONFLICT POLITIC INTERN,INTERNAL POLITICAL CONFLICT
CONFLICT RASIAL,RACIAL CONFLICT
CONFLICT RELIGIOS,RELIGIOUS CONFLICT
CONFLICT SOCIAL,SOCIAL CONFLICT
CONFLICTE DE MUNCĂ,LABOUR DISPUTES
CONFORMISM SOCIAL,SOCIAL CONFORMITY
CONFUZIE,CONFUSION
CONSERVAREA ENERGIEI,ENERGY CONSERVATION
CONSERVAREA PROPRIETĂȚILOR CULTURALE,PRESERVATION OF CULTURAL PROPERTY
CONSERVATORISM,CONSERVATISM
CONSILIERE,COUNSELLING
CONSILIERE ÎN CARIERĂ,CAREERS GUIDANCE
CONSILIERE JURIDICĂ,LEGAL ADVICE
CONSILIERI (MEMBRII AI UNUI CONSILIU),COUNCILLORS
CONSILIERI (SOCIALI),COUNSELLORS
CONSILIERI ȘCOLARI,EDUCATIONAL ADVISERS
CONSILIERI DE PROBAȚIUNE,PROBATION OFFICERS
CONSILII DE ADMINISTRAȚIE (EDUCAȚIE),GOVERNING BOARDS (EDUCATION)
CONSILII DE ADMINISTRAȚIE (ORGANIZAȚII),GOVERNING BOARDS (ORGANIZATIONS)
CONSILIUL MINIȘTRILOR,COUNCIL OF MINISTERS
CONSTIPAȚIE,CONSTIPATION
CONSTITUȚII,CONSTITUTIONS
CONSTRUC?II, ECHIPAMENTE ?I SERVICII EDUCA?IONALE
CONSTRUCȚII PENTRU GRĂDINI ȘI PARCURI,GARDEN BUILDINGS
CONSULTAȚII JURIDICE,LEGAL CONSULTATIONS
CONSULTAȚII MEDICALE,HEALTH CONSULTATIONS
CONSULTAȚII PROFESIONALE,PROFESSIONAL CONSULTATIONS
CONSULTANȚĂ FINANCIARĂ,FINANCIAL ADVICE
CONSUM,CONSUMPTION
CONSUM DE ENERGIE,ENERGY CONSUMPTION
CONSUM DE ENERGIE ELECTRICĂ,ELECTRICAL ENERGY CONSUMPTION
CONSUM DE GAZE,GAS CONSUMPTION
CONSUM DE PETROL,PETROL CONSUMPTION
CONSUMATORI,CONSUMERS
CONSUMUL DE ALCOOL AL MINORILOR,UNDERAGE DRINKING
CONTABILI,ACCOUNTANTS
CONTABILITATE,ACCOUNTING
CONTABILITATE NAȚIONALĂ,NATIONAL ACCOUNTING
CONTACT SEXUAL PREMARITAL,PREMARITAL SEX
CONTACT SEXUAL PROTEJAT,SAFE SEX
CONTACTE PERSONALE,PERSONAL CONTACT
CONTAMINARE ALIMENTARĂ,FOOD CONTAMINATION
CONȘTIENTIZARE SEXUALĂ,SEXUAL AWARENESS
CONȘTIINȚĂ DE CLASĂ,CLASS CONSCIOUSNESS
CONTINUAREA EDUCAȚIEI,FURTHER EDUCATION
CONTOARE DE APĂ,WATER METERS
CONTRACTE COLECTIVE,COLLECTIVE AGREEMENTS
CONTRACTE DE INCHIRIERE,TENANCY AGREEMENTS
CONTRACTE DE LEASING,LEASES
CONTRACTE DE MUNCĂ,EMPLOYMENT CONTRACTS
CONTRACTE ȘI ACORDURI,CONTRACTS AND AGREEMENTS
CONTRACTE PRENUPȚIALE,MARRIAGE CONTRACTS
CONTRIBUȚII PENTRU PENSII,PENSION CONTRIBUTIONS
CONTRIBUȚII SOCIALE,SOCIAL SECURITY CONTRIBUTIONS
CONTROALE LA GRANIȚĂ,BORDER CONTROLS
CONTROL ALIMENTAR,FOOD CONTROL
CONTROL BIOLOGIC,BIOLOGICAL CONTROL
CONTROL BUGETAR,BUDGETARY CONTROL
CONTROL DE STAT,STATE CONTROL
CONTROL STOMATOLOGIC,DENTAL EXAMINATIONS
CONTROLUL ARMELOR,ARMS CONTROL
CONTROLUL CALITĂȚII,QUALITY CONTROL
CONTROLUL COMUNICAȚIILOR,COMMUNICATION CONTROL
CONTROLUL DĂUNĂTORILOR,PEST CONTROL
CONTROLUL DURERII,PAIN CONTROL
CONTROLUL GREUTĂȚII,WEIGHT CONTROL
CONTROLUL IMPORTURILOR,IMPORT CONTROLS
CONTROLUL MEDICAMENTELOR,DRUG CONTROL
CONTROLUL POLUĂRII,POLLUTION CONTROL
CONTROLUL PREȚULUI,PRICE CONTROL
CONTROLUL REVOLTELOR DE STRADĂ,RIOT CONTROL
CONTURI BANCARE,BANK ACCOUNTS
CONVIEȚUIRE,COHABITING
CONVULSII,SEIZURES
COOPERARE,COOPERATION
COOPERARE EDUCAȚIONALĂ,EDUCATIONAL COOPERATION
COOPERARE INTERNAȚIONALĂ,INTERNATIONAL COOPERATION
COOPERARE REGIONALĂ (NAȚIONALĂ),REGIONAL COOPERATION (NATIONAL)
COOPERARE ȘTIINȚIFICĂ,SCIENTIFIC COOPERATION
COOPERARE TRANSFRONTALIERĂ,CROSS-BORDER COOPERATION
COOPERATIVE,COOPERATIVES
COPACI,TREES
COPII,CHILDREN
COPII ADOPTAȚI,ADOPTED CHILDREN
COPII CU DIZABILITĂȚI,DISABLED CHILDREN
COPII DE ȘCOALĂ,SCHOOLCHILDREN
COPII DEZAVANTAJAȚI SOCIAL,SOCIALLY DISADVANTAGED CHILDREN
COPII ÎN GRIJA STATULUI,CHILDREN IN CARE
COPII MALTRATAȚI,ILL-TREATED CHILDREN
COPII SPITALIZAȚI,HOSPITALIZED CHILDREN
COPII VITREGI,STEPCHILDREN
COPILĂRIE,CHILDHOOD
COPILĂRIE TIMPURIE,EARLY CHILDHOOD
CORESPONDENȚĂ,CORRESPONDENCE
CORIGENȚĂ,DROPPING OUT (EDUCATION)
CORUPȚIE,CORRUPTION
CORUPȚIE POLIȚIENEASCĂ,POLICE CORRUPTION
CORUPȚIE POLITICĂ,POLITICAL CORRUPTION
CORURI,CHOIRS
CORURI DE AMATORI,AMATEUR CHOIRS
COST DE TRAI,COST OF LIVING
COSTURI,COSTS
COSTURI DE CONSTRUCȚII,BUILDING COSTS
COSTURI FIXE,FIXED COSTS
COSTURI PENTRU SĂNĂTATE,HEALTH CARE COSTS
COȘURI DE FUM,CHIMNEYS
CREANȚE,DEBTS
CREANȚE DE ASIGURARE,INSURANCE CLAIMS
CREAREA LOCURILOR DE MUNCĂ,JOB CREATION
CREATIVITATE,CREATIVITY
CREDINȚA RELIGIOASĂ A SOȚULUI/SOȚIEI,SPOUSE'S RELIGIOUS BELIEF
CREDINȚE,BELIEFS
CREDINȚE RELIGIOASE,RELIGIOUS BELIEFS
CREȘE DE ZI,DAY NURSERIES
CREȘE ȘI GRĂDINIȚE CU PROGRAM DE ZI,CHILD DAY CARE
CREȘTERE (FIZIOLOGICĂ),GROWTH (PHYSIOLOGICAL)
CREȘTERE ECONOMICĂ,ECONOMIC GROWTH
CREȘTEREA POPULAȚIEI,POPULATION INCREASE
CREȘTERI SALARIALE,WAGE INCREASES
CREȘTINISM,CHRISTIANITY
CRIME DE RĂZBOI,WAR CRIMES
CRIME ÎMPOTRIVA UMANITĂȚII,CRIMES AGAINST HUMANITY
CRIMINALI,CRIMINALS
CRIMINALITATE,CRIME
CRIMINALITATE FINANCIARĂ,FINANCIAL CRIMES
CRITERII DE ADMITERE ÎN SISTEMUL EDUCAȚIONAL,EDUCATIONAL ADMISSION CRITERIA
CRITICĂ LITERARĂ,LITERARY CRITICISM
CRIZĂ ENERGETICĂ,ENERGY SHORTAGES
CRIZE POLITICE,POLITICAL CRISES
CROAZIERE,CRUISING HOLIDAYS
CULEGEREA DATELOR DIN TEREN,FIELD WORK
CULOARE,COLOUR
CULTURĂ,CULTURE
CULTURĂ DE MASĂ,MASS CULTURE
CULTURA TINERETULUI,YOUTH CULTURE
CULTURI DE CEREALE,GRAIN CROPS
CULTURI MODIFICATE GENETIC,GENETICALLY MODIFIED CROPS
CULTURI NAȚIONALE,NATIONAL CULTURES
CULTURI POPULARE (TRADIȚIONALE),FOLK CULTURES
CUMPĂRARE,PURCHASING
CUMPĂRĂTURI,SHOPPING
CUMPĂRĂTURI DE DUMINICĂ,SUNDAY SHOPPING
CUMPĂRĂTURI ONLINE,ONLINE SHOPPING
CUMUL DE FUNCȚII,SUBSIDIARY EMPLOYMENT
CUNOȘTINȚE DE VOCABULAR,VOCABULARY SKILLS
CUNOȘTINȚE POLITICE,POLITICAL AWARENESS
CUPOANE EDUCAȚIONALE,EDUCATIONAL VOUCHERS
CURĂȚENIE,CLEANING
CURȚI SUPREME DE JUSTIȚIE,SUPREME COURTS
CURȚILE UNIUNII EUROPENE,EUROPEAN UNION COURTS
CURS VALUTAR,EXCHANGE RATES
CURSA ÎNARMĂRII,ARMS RACE
CURSURI CU FRECVENȚĂ REDUSĂ,PART-TIME COURSES
CURSURI DE FORMARE,TRAINING COURSES
CURSURI EDUCAȚIONALE,EDUCATIONAL COURSES
CURSURI ÎN TEHNOLOGIA INFORMAȚIEI,INFORMATION TECHNOLOGY TRAINING
CURSURI PENTRU DEZVOLTARE PERSONALĂ,PERSONAL DEVELOPMENT EDUCATION
CURSURI UNIVERSITARE,UNIVERSITY COURSES
CURTEA EUROPEANĂ A DREPTURILOR OMULUI,EUROPEAN COURT OF HUMAN RIGHTS
CURTEA EUROPEANĂ DE CONTURI,EUROPEAN COURT OF AUDITORS
CURTEA EUROPEANĂ DE JUSTIȚIE,EUROPEAN COURT OF JUSTICE
CURTEA INTERNAȚIONALĂ DE JUSTIȚIE,INTERNATIONAL COURT OF JUSTICE
CURTEA PENALĂ INTERNAȚIONALĂ,INTERNATIONAL CRIMINAL COURT
CUTREMURE,EARTHQUAKES
DANS,DANCE
DĂRÂMAREA MAHALALELOR,SLUM CLEARANCE
DARURI,GIFTS
DATE,DATA
DATE ANTROPOMETRICE,ANTHROPOMETRIC DATA
DATE BIBLIOGRAFICE,BIBLIOGRAPHIC DATA
DATE DE RECENSĂMÂNT,CENSUS DATA
DATE ELECTORALE,ELECTION DATA
DATE STATISTICE,STATISTICAL DATA
DATORIE PUBLICĂ,PUBLIC DEBT
DĂUNĂTORI ,PESTS
DĂUNĂTORI CASNICI,HOUSE VERMIN
DAUNE,DAMAGE
DAUNE JURIDICE,LEGAL DAMAGES
DAUNE PROVOCATE DE APĂ,WATER DAMAGE
DAUNE PROVOCATE DE INCENDIU,FIRE DAMAGE
DECALAJ ÎNTRE GENERAȚII,GENERATION GAP
DECEDAȚI ÎN RĂZBOI,WAR DEATHS
DECIZIE,DECISION MAKING
DECIZII JURIDICE,LEGAL DECISIONS
DECOLONIZARE,DECOLONIZATION
DEDUCERE DIN SALARII,ATTACHMENT OF EARNINGS
DEȘEURI,WASTES
DEȘEURI RADIOACTIVE,RADIOACTIVE WASTES
DEFECTE,FAULTS
DEFICIENȚE DE AUZ,HEARING IMPAIRMENTS
DEFICIENȚE DE VORBIRE,SPEECH IMPAIRMENTS
DEFICIENȚE SENZORIALE,SENSORY IMPAIRMENTS
DEFICIT DE APĂ,WATER SHORTAGES
DEFICIT DE UNITĂȚI LOCATIVE,HOUSING SHORTAGES
DEFLAȚIE,DEFLATION
DEGRADAREA MEDIULUI,ENVIRONMENTAL DEGRADATION
DELEGAȚI,DELEGATES
DELINCVENȚĂ,DELINQUENCY
DELINCVENȚĂ JUVENILĂ,JUVENILE DELINQUENCY
DEMENȚĂ,DEMENTIA
DEMENȚĂ SENILĂ,SENILE DEMENTIA
DEMISIE DE LA LOCUL DE MUNCĂ,RESIGNATION FROM WORK
DEMOCRAȚIE,DEMOCRACY
DEMOCRAȚIE REPREZENTATIVĂ,REPRESENTATIVE DEMOCRACY
DEMOCRATIZARE,DEMOCRATIZATION
DEMOGRAFIE,DEMOGRAPHY
DEMONSTRAȚII (LECȚII),DEMONSTRATIONS (LESSONS)
DEMONSTRAȚII (PROTESTE),DEMONSTRATIONS (PROTESTS)
DENSITATEA LOCUIRII,HOUSING DENSITY
DENSITATEA POPULAȚIEI,POPULATION DENSITY
DEPENDENȚĂ,ADDICTION
DEPLASĂRI INTERNAȚIONALE,INTERNATIONAL TRAVEL
DEPLASĂRI RUTIERE,ROAD TRAVEL
DEPOZITARE,STORAGE
DEPOZITAREA ALIMENTELOR,FOOD STORAGE
DEPRESIE,DEPRESSION
DEPRESIE POST-NATALĂ,POST-NATAL DEPRESSION
DEPRIVARE PARENTALĂ,PARENTAL DEPRIVATION
DERMATITĂ,DERMATITIS
DESCENDENȚI,OFFSPRING
DESCENTRALIZARE,DECENTRALIZATION
DESCOPERIRI ȘTIINȚIFICE,SCIENTIFIC DISCOVERIES
DESFACEREA CĂSĂTORIEI,MARRIAGE DISSOLUTION
DESFIGURARE,DISFIGURING IMPAIRMENTS
DESFIINȚAREA AFACERILOR,LIQUIDATIONS
DESPĂRȚIȚI (DAR CĂSĂTORIȚI),SEPARATED (STILL MARRIED)
DESPĂRȚIȚI (PARTENERI CIVILI),SEPARATED (CIVIL PARTNERS)
DETENȚIE,DETENTION
DETERIORARE,DETERIORATION
DETURNARE,HIJACKING
DEVALORIZARE,DEPRECIATION
DEVALORIZARE MONETARĂ,CURRENCY DEVALUATION
DEZARMARE,DISARMAMENT
DEZAVANTAJ SOCIAL,SOCIAL DISADVANTAGE
DEZAVANTAJAȚI EDUCAȚIONAL,EDUCATIONALLY DISADVANTAGED
DEZAVANTAJATI CULTURAL,CULTURALLY DISADVANTAGED
DEZINTEGRARE FAMILIALĂ,FAMILY DISORGANIZATION
DEZVOLTARE,DEVELOPMENT
DEZVOLTARE AGRICOLĂ,AGRICULTURAL DEVELOPMENT
DEZVOLTARE COMUNITARĂ,COMMUNITY DEVELOPMENT
DEZVOLTARE CULTURALĂ,CULTURAL DEVELOPMENT
DEZVOLTARE DE PROCES,PROCESS DEVELOPMENT
DEZVOLTARE DE PRODUS,PRODUCT DEVELOPMENT
DEZVOLTARE DE SINE,INDIVIDUAL DEVELOPMENT
DEZVOLTARE DURABILĂ,SUSTAINABLE DEVELOPMENT
DEZVOLTARE EDUCAȚIONALĂ,EDUCATIONAL DEVELOPMENT
DEZVOLTARE EMOȚIONALĂ,EMOTIONAL DEVELOPMENT
DEZVOLTARE FIZIOLOGICĂ,PHYSIOLOGICAL DEVELOPMENT
DEZVOLTARE INDUSTRIALĂ,INDUSTRIAL DEVELOPMENT
DEZVOLTARE LINGVISTICĂ,LANGUAGE DEVELOPMENT
DEZVOLTARE MENTALĂ,MENTAL DEVELOPMENT
DEZVOLTARE NAȚIONALĂ,NATIONAL DEVELOPMENT
DEZVOLTARE REGIONALĂ,REGIONAL DEVELOPMENT
DEZVOLTARE RURALĂ,RURAL DEVELOPMENT
DEZVOLTARE SOCIO-ECONOMICĂ,ECONOMIC AND SOCIAL DEVELOPMENT
DEZVOLTARE ȘTIINȚIFICĂ,SCIENTIFIC DEVELOPMENT
DEZVOLTARE URBANĂ,URBAN DEVELOPMENT
DEZVOLTAREA CARIEREI,CAREER DEVELOPMENT
DEZVOLTAREA PERSONALITĂȚII,PERSONALITY DEVELOPMENT
DEZVOLTAREA PLANULUI DE ÎNVĂȚĂMÂNT,CURRICULUM DEVELOPMENT
DIABET,DIABETES
DIAGNOSTIC MEDICAL,MEDICAL DIAGNOSIS
DIALECTE,DIALECTS
DIAREE,DIARRHOEA
DICTATURĂ,DICTATORSHIP
DIETĂ ȘI NUTRIȚIE,DIET AND NUTRITION
DIETE MEDICALE,MEDICAL DIETS
DIETE PENTRU SLĂBIT,SLIMMING DIETS
DIETE SPECIALE,SPECIAL DIETS
DIFERENȚE DE CLASĂ SOCIALĂ,CLASS DIFFERENTIATION
DIFERENȚE DE VÂRSTĂ,AGE DIFFERENCES
DIFICULTĂȚI DE ÎNVĂȚARE,LEARNING DISABILITIES
DIFUZARE ȘI TRANSMISIE NAȚIONALĂ DE PROGRAME AUDIOVIZUALE,NATIONAL BROADCASTING
DIFUZARE LOCALĂ (RADIO ȘI TELEVIZIUNE),LOCAL BROADCASTING
DIFUZARE RADIO ?I TV EXTERNA,EXTERNAL BROADCASTING
DIFUZARE TELEVIZATĂ ȘI RADIOFONICĂ,BROADCASTING
DINAMICĂ DE GRUP,GROUP DYNAMICS
DINAMICA POPULAȚIEI,POPULATION DYNAMICS
DINȚI,TEETH
DIPLOMAȚIE,DIPLOMACY
DISCIPLINĂ,DISCIPLINE
